year,city,tmin,tmax,rh,sh,sr,ep,ws,rf
01/10/2012,Maiduguri,19.9,35.3,43,9.8,13.9,7.6,5.5,0.25
01/11/2012,Maiduguri,14.8,35.7,26,9.1,12.8,9.7,5.9,0
01/12/2012,Maiduguri,12.9,33.6,25,10.3,10.6,9.5,5.5,0
01/01/2013,Maiduguri,10.8,28.5,33,7.6,10.4,9.2,6.8,0
01/02/2013,Maiduguri,15,34,19,8.7,13.3,11.9,5.6,0
01/03/2013,Maiduguri,19.8,39.1,15,7.8,14.7,16.3,6.8,0
01/04/2013,Maiduguri,26,41.9,27,6.8,14.9,15.6,7,2.2
01/05/2013,Maiduguri,26.3,42.5,31,8.3,15.4,16.6,6.9,0
01/06/2013,Maiduguri,26,38.3,49,7.5,12.7,10.1,7.9,49.7
01/07/2013,Maiduguri,24.4,35.1,60,7.2,11.2,7.2,7.6,111.4
01/08/2013,Maiduguri,23,32.5,71,8.3,11.9,3.9,6.4,178.6
01/09/2013,Maiduguri,22.8,33.3,73,7.8,12.4,3.6,4.4,125.8
01/10/2013,Maiduguri,21.5,35.1,50,9.2,12.9,7.2,4.9,26.4
01/11/2013,Maiduguri,17.2,35.7,23,8.9,12.1,11.1,5.2,0
01/12/2013,Maiduguri,12.5,32.2,21,8.4,10.8,10.4,5.5,0
01/01/2014,Maiduguri,12.3,32.9,21,9.7,11.9,10.5,3.8,0
01/02/2014,Maiduguri,17,36,17,8.7,14,14.7,5.4,0
01/03/2014,Maiduguri,19.3,36.9,13,8.1,14.5,18,6.3,0
01/04/2014,Maiduguri,26,41.2,27,7.7,16.2,17.3,5,4.3
01/05/2014,Maiduguri,25,40.9,29,8.4,15.3,14.8,6.4,12.8
01/06/2014,Maiduguri,24.5,35.5,57,7.2,12.4,7.3,7.3,89.1
01/07/2014,Maiduguri,23.3,33,67,7.1,12.3,4.6,7.2,202.3
01/08/2014,Maiduguri,22.9,30.8,78,7,9.7,2.5,6.1,251.1
01/09/2014,Maiduguri,23,33.2,69,7.9,13.3,4,5.1,79
01/10/2014,Maiduguri,21.9,36.9,46,8.1,13.9,7,4.7,14.7
01/11/2014,Maiduguri,18,36.3,24,9.3,12.5,10.1,5.5,0
01/12/2014,Maiduguri,12.5,31.4,22,7.8,10.1,9.1,5.6,0
01/01/2015,Maiduguri,14.4,33.7,17,9.8,14,12.6,1.2,0
01/02/2015,Maiduguri,18.3,38.3,11,8.9,15.1,16.1,1.3,0
01/03/2015,Maiduguri,24.2,42.1,17,8.6,16.3,17.5,1.7,0
01/04/2015,Maiduguri,26,39,45,7.9,14.6,10.9,2.4,60.9
01/05/2015,Maiduguri,25,36.3,57,8.8,12.8,7.7,2.9,69.5
01/06/2015,Maiduguri,25.3,38.5,55,7.7,12.5,8.7,2.6,33
01/07/2015,Maiduguri,22.8,31.3,66,7.7,11.6,6.1,1.9,297.2
01/08/2015,Maiduguri,22.6,32.6,70,6.9,11.4,3.9,2.6,243.1
01/09/2015,Maiduguri,21.3,37.6,39,7.6,18.7,5.8,3.3,31
01/10/2015,Maiduguri,22.1,36.2,45,7.1,13.2,8.1,3.2,22.1
01/11/2015,Maiduguri,19.2,35.4,23,10.8,12.4,13.6,4.2,0
01/12/2015,Maiduguri,13.2,30.2,22,8.4,10,12.3,5,0
01/01/2016,Maiduguri,12.5,30.3,24,8.5,15.9,9.6,2.4,0
01/02/2016,Maiduguri,18.7,38.5,19,9.4,19,14.9,3.5,0
01/03/2016,Maiduguri,21.8,40.3,14,8.7,19.7,16.1,3.1,0
01/04/2016,Maiduguri,24.5,41,24,8.5,19.4,15.1,2.9,25
01/05/2016,Maiduguri,26.1,39.8,37,8.3,18.5,14,2.7,75.2
01/06/2016,Maiduguri,24.2,34.3,68,7.8,16.3,7,2.4,124.8
01/07/2016,Maiduguri,23.7,33.8,73,6.2,16.2,4.5,2.2,209.9
01/08/2016,Maiduguri,23,31.3,96,5.3,14.6,3.1,2.9,295.3
01/09/2016,Maiduguri,23.5,33.6,68,7.6,17.7,4.3,2.2,107.5
01/10/2016,Maiduguri,21.5,35.8,52,9.8,18.5,7.6,2,59.4
01/11/2016,Maiduguri,16,35.7,26,10.8,18.4,10,2.5,0
01/12/2016,Maiduguri,14.6,34.2,23,10.3,16.7,10.5,4.2,0
01/01/2017,Maiduguri,15,31,20,10.1,20.8,11.9,3.8,0
01/02/2017,Maiduguri,19,33.4,17,9.4,20.1,14.4,4.9,0
01/03/2017,Maiduguri,20.5,37.6,12,8.2,19,16.9,2.4,0
01/04/2017,Maiduguri,22.6,40.4,17,7.8,18.3,18.9,3.4,0
01/05/2017,Maiduguri,27.1,39.1,45,9.1,18.7,13.5,3.1,38.7
01/06/2017,Maiduguri,25.1,37.3,58,7.7,17.7,13.4,3.1,78.9
01/07/2017,Maiduguri,23.8,31.1,67,8,16,6.4,1.7,180.8
01/08/2017,Maiduguri,23.3,31.9,74,5.3,16,2.8,2,156.9
01/09/2017,Maiduguri,24,32.4,70,7.9,17.4,3.4,3.3,64.2
01/10/2017,Maiduguri,22.7,36.1,55,9.2,17.5,9.1,1.8,0
01/11/2017,Maiduguri,16,33.9,40,9.6,14.6,11.6,3,0
01/12/2017,Maiduguri,12.2,34.2,35,9.8,12.9,10.5,4.1,0
01/01/2018,Maiduguri,13.3,32.2,37,10.3,13.5,10.1,2.7,0
01/02/2018,Maiduguri,14.2,30.6,26,9.7,16.5,13.5,4.5,0
01/03/2018,Maiduguri,17.8,35,21,8.2,17.4,16.1,3.4,0
01/04/2018,Maiduguri,22.3,40,22,7.7,18.5,17.9,3.3,1.6
01/05/2018,Maiduguri,24.7,40.6,34,8.4,19.4,13.2,2.3,32
01/06/2018,Maiduguri,24.6,36.1,57,8.5,14.1,11,2.4,371.6
01/07/2018,Maiduguri,22.2,31.7,73,6.6,14.8,5.9,1.7,252
01/08/2018,Maiduguri,21.1,30,78,6.1,13.1,3,1.8,185.5
01/09/2018,Maiduguri,21.4,32.8,70,7.7,17.3,4.1,4.8,83
01/10/2018,Maiduguri,18.9,35.6,41,8.1,18.7,10.3,5,0
01/11/2018,Maiduguri,15.2,33.9,33,9.4,17.2,11.9,2.9,0
01/12/2018,Maiduguri,17.7,30,41,10.3,16,10.7,2.6,0
01/01/2019,Maiduguri,11.8,30,42,9,13.5,10.6,2.8,0
01/02/2019,Maiduguri,13,33.4,29,9.6,17.2,14.2,2.7,0
01/03/2019,Maiduguri,18.6,39.5,27,8.3,20.1,17.4,3.9,0
01/04/2019,Maiduguri,18.8,39.5,34,9.6,18.9,15.4,3.7,0.25
01/05/2019,Maiduguri,24.7,40,41,8.3,19.3,10.5,3.2,26.7
01/06/2019,Maiduguri,23.6,35,63,8.1,16.3,7.8,2.9,82.3
01/07/2019,Maiduguri,21.9,34.5,67,5.9,17.9,4.4,2.6,158.6
01/08/2019,Maiduguri,21.7,30.6,76,4.4,15.6,3.3,1.9,264.4
01/09/2019,Maiduguri,21.4,32.7,70,7.3,17,3.2,1.8,68.9
01/10/2019,Maiduguri,21.5,36.1,55,9,18.5,7.6,2.1,0.25
01/11/2019,Maiduguri,14.2,37.8,40,8.4,19.6,13.3,2.5,0
01/12/2019,Maiduguri,9.7,33.4,35,9.5,19,12,2.5,0
01/01/2020,Maiduguri,12.1,33.9,30,9.6,14.9,13.8,5.2,0
01/02/2020,Maiduguri,14.1,38.3,30,10.4,16.9,16.9,4.2,0
01/03/2020,Maiduguri,19,36.6,25,9.4,21.1,21.1,3,0
01/04/2020,Maiduguri,22.5,40,33,8.7,20.5,20.6,2.6,7.6
01/05/2020,Maiduguri,26.2,39.4,46,9.6,18.4,18.8,2.8,30.7
01/06/2020,Maiduguri,24,36.6,58,8.2,17.8,12,2.8,10.2
01/07/2020,Maiduguri,22.8,33.3,68,7.6,15.3,7.8,3.1,79.1
01/08/2020,Maiduguri,21.7,31.6,76,5.9,12.7,3.1,3.5,185.7
01/09/2020,Maiduguri,21.4,33.3,68,8,16.1,4,2.1,210.9
01/10/2020,Maiduguri,20.1,35.5,55,10,18.2,10.4,2.2,81.7
01/11/2020,Maiduguri,14.1,33.3,30,9.9,18,10.5,2.2,0
01/12/2020,Maiduguri,12.9,33.9,29,9.8,17.1,10.6,3.1,0
01/01/2021,Maiduguri,12.4,31.6,32,9.7,17,9.6,3.2,0
01/02/2021,Maiduguri,15.8,32.7,26,9.6,19.3,12.2,4.4,0
01/03/2021,Maiduguri,21.1,39.4,19,9.5,21.2,14.6,4.4,0
01/04/2021,Maiduguri,20.3,41.1,32,7.7,30.6,13.4,3.2,4.8
01/05/2021,Maiduguri,24.2,39.4,39,7.6,19.5,10.6,3.2,1.6
01/06/2021,Maiduguri,22.9,36.1,36,8.1,21,9.1,3.3,138.8
01/07/2021,Maiduguri,21.2,31.6,71,8.4,16.5,3.5,5.9,257.7
01/08/2021,Maiduguri,21.9,30,77,6.7,13.5,2.4,3.7,118.4
01/09/2021,Maiduguri,21.1,32.7,66,7.4,15.9,5.8,3.6,141
01/10/2021,Maiduguri,18.8,36.1,40,14.6,19.1,9.9,3.5,0
01/11/2021,Maiduguri,14.7,34.4,29,9.8,18.1,11.7,2.6,0
01/12/2021,Maiduguri,11.1,32.7,24,9.9,16.3,11.8,2.6,0
01/01/1991,Ilorin,19.9,33.9,75,8,13.8,7.2,3.5,0
01/02/1991,Ilorin,22.8,35.1,69,7.7,16.7,9.5,5.4,18.8
01/03/1991,Ilorin,23.9,35.8,71,7.2,18.8,8.8,3.9,3.6
01/04/1991,Ilorin,22.8,34.5,72,6.6,17,7.6,3.6,44.4
01/05/1991,Ilorin,21.9,31.1,79,6.6,15.8,4.5,3.5,135.2
01/06/1991,Ilorin,21.7,29.9,81,6.1,15,3.7,3.1,214.7
01/07/1991,Ilorin,20.9,28,85,4.6,11.6,3,3.8,123.9
01/08/1991,Ilorin,21.1,27.9,85,3,12.2,2.5,4,280.1
01/09/1991,Ilorin,21.2,29.5,86,4.3,15.1,2.5,3.1,214.6
01/10/1991,Ilorin,21.8,30.4,82,4.5,15.8,2.9,3.3,197.3
01/11/1991,Ilorin,22.2,32.3,75,6.9,17,5.5,3,2.9
01/12/1991,Ilorin,16.4,32,56,7.4,15.1,8.1,4.3,1.6
01/01/1992,Ilorin,19.2,32.9,56,6.4,14.5,9.5,4.3,0.25
01/02/1992,Ilorin,22.3,35.7,63,6.2,16.8,11.1,4.2,0.25
01/03/1992,Ilorin,22.9,35.1,73,4.7,15.9,8,4.6,117.7
01/04/1992,Ilorin,22.8,33.9,74,6.4,16.4,6.6,4.3,86.3
01/05/1992,Ilorin,22.3,32.2,80,7.5,14.1,4,4.8,265.8
01/06/1992,Ilorin,22.1,30.1,83,5.8,14.8,3.5,4.8,225.8
01/07/1992,Ilorin,20.9,28.3,86,4.3,12.2,3.2,4.3,163.3
01/08/1992,Ilorin,20.8,27.9,87,3.5,11.4,2.7,4.2,76.8
01/09/1992,Ilorin,20.9,29.1,85,3.6,14.1,2.7,3.2,252.9
01/10/1992,Ilorin,22.2,31,82,6.4,14.6,3,3.2,98.3
01/11/1992,Ilorin,19.3,33.3,61,7.9,17,7.9,3.5,0.25
01/12/1992,Ilorin,20.1,33.9,76,7.2,14,6.9,4.2,0
01/01/1993,Ilorin,20.2,33.1,49,8.3,14.9,9.9,3.7,8
01/02/1993,Ilorin,22.1,33.9,58,8.4,17.9,8.8,3.8,28.9
01/03/1993,Ilorin,22.9,35.1,68,7.4,15.6,7.7,4.6,22.2
01/04/1993,Ilorin,22.7,33.2,76,5.7,16.3,6,4.1,141.8
01/05/1993,Ilorin,22.5,30.9,81,7.3,16,3.4,3.9,150.6
01/06/1993,Ilorin,21.9,30.1,82,6,13,3,4.2,127.2
01/07/1993,Ilorin,20.9,28.2,85,3.7,12.3,2.8,4.2,76.7
01/08/1993,Ilorin,20.7,27.9,84,3.6,11.2,2.9,3.7,182.5
01/09/1993,Ilorin,20.6,29.1,86,4.1,13.2,2.1,3.8,247.8
01/10/1993,Ilorin,21.3,30,84,5.6,16.5,2.2,3.6,229.4
01/11/1993,Ilorin,20.3,32.2,70,8.2,16.4,4.9,3.7,0
01/12/1993,Ilorin,20.1,33.3,65,7.7,15.3,6.6,6,0
01/01/1994,Ilorin,17.2,31.1,23,7.4,14.7,13.5,4.3,0
01/02/1994,Ilorin,21.5,35.9,57,8.5,17.5,9.8,4.5,8.6
01/03/1994,Ilorin,22.9,36.1,52,6,16.9,11.6,5,15
01/04/1994,Ilorin,23.6,35.2,74,7.1,17.7,6.3,4.5,92.3
01/05/1994,Ilorin,22.8,32.9,77,6.2,15.8,4.5,6.1,175.1
01/06/1994,Ilorin,21.9,30.3,81,4.9,12.6,3.3,4.1,146.2
01/07/1994,Ilorin,21.1,28.1,84,4.8,12.3,2.9,4.9,91.8
01/08/1994,Ilorin,20.6,28.2,87,4,12.8,2.5,4.6,215.9
01/09/1994,Ilorin,20.8,30.1,84,5.4,15,2.5,4.8,228.3
01/10/1994,Ilorin,21.6,32.2,77,6.2,15.2,4.2,4.6,34
01/11/1994,Ilorin,23.1,34.1,72,7.3,16.4,5.8,3.9,1.7
01/12/1994,Ilorin,21.3,32,76,7.4,14.5,4.4,5.3,148.3
01/01/1995,Ilorin,18.2,33.3,56,7.1,12.9,9,5.3,0
01/02/1995,Ilorin,22.3,35.8,68,6.6,15.5,10.5,5.1,0
01/03/1995,Ilorin,23.9,36.1,73,7.7,18.5,6.6,5.2,83.5
01/04/1995,Ilorin,22.8,33,79,6.9,15.9,5,5.7,88.3
01/05/1995,Ilorin,21.7,31.9,77,6.6,15.2,3.6,5.1,139.9
01/06/1995,Ilorin,21.3,30.1,80,6.4,14.1,3.1,4.3,214.3
01/07/1995,Ilorin,20.9,29.3,83,3.6,12.2,2.6,5.1,267.3
01/08/1995,Ilorin,21.7,30.2,85,4,10.9,2.8,4.9,272.5
01/09/1995,Ilorin,20.8,30.1,83,4.5,11.4,2.5,3.8,158.8
01/10/1995,Ilorin,21.7,31.1,81,6.1,14.4,3.1,3.8,83.3
01/11/1995,Ilorin,21.9,34.2,70,6.6,17.9,5.6,4.7,2.6
01/12/1995,Ilorin,19.2,33.3,58,6.5,15.4,7.6,5.6,0.25
01/01/1996,Ilorin,22.2,33.9,64,7.1,14,7.7,7.5,0.8
01/02/1996,Ilorin,19.6,35.2,43,7.4,17.8,12.7,5.9,0.25
01/03/1996,Ilorin,24.6,35.9,68,6.8,18.4,7.8,4.5,51.3
01/04/1996,Ilorin,23.6,33.1,76,7.3,16.5,4.8,4.9,57.6
01/05/1996,Ilorin,23.5,32.3,77,6.7,16.4,4.7,5.3,175.6
01/06/1996,Ilorin,21.2,29.8,83,6.6,13.8,2.9,5.4,184.9
01/07/1996,Ilorin,21.1,29.1,83,3.6,12.8,2.8,5.4,251.1
01/08/1996,Ilorin,22.2,28.9,86,3.1,11.4,2.7,5.9,89.9
01/09/1996,Ilorin,20.9,30.3,84,4.7,13.7,2.1,3.7,293.1
01/10/1996,Ilorin,20.8,33.2,78,6.8,15.9,4.1,5.4,20.5
01/11/1996,Ilorin,22.1,34.9,75,6.4,17.4,5.7,5.7,8.5
01/12/1996,Ilorin,18.3,33.3,45,7.3,15.7,9.2,5.5,0
01/01/1997,Ilorin,22.2,34.1,65,8,15.7,7.7,5.5,5.5
01/02/1997,Ilorin,22.9,35.3,75,6,17.4,6.6,6.5,90.7
01/03/1997,Ilorin,23.3,34.2,74,6.3,18.2,5.5,5.7,108.4
01/04/1997,Ilorin,23.2,34.3,75,6.6,17.3,4.9,6.5,58.3
01/05/1997,Ilorin,23.3,33.3,76,6.5,16.1,4.2,5.9,97.5
01/06/1997,Ilorin,21.2,30.2,82,5,13.3,3.5,4.4,264
01/07/1997,Ilorin,21.1,28.3,86,3.4,11.8,2.6,5.4,126.9
01/08/1997,Ilorin,21.3,28.2,84,2.6,11.1,2.6,5.7,153.7
01/09/1997,Ilorin,21.1,29.3,85,3.8,12.9,2.3,3.9,195.7
01/10/1997,Ilorin,21,31.2,83,6.2,14.6,2.7,5.5,220.9
01/11/1997,Ilorin,21.2,32.2,75,6.7,17.7,5,5.6,6.8
01/12/1997,Ilorin,17.3,31.9,47,6.8,16,8.5,5.4,0
01/01/1998,Ilorin,19.9,34.1,63,3.1,14.8,8.1,5.4,0
01/02/1998,Ilorin,23.8,36.3,70,6.5,17.5,8,6.1,3.6
01/03/1998,Ilorin,22.7,34.9,66,5.9,16.4,8,5.5,68.4
01/04/1998,Ilorin,24.9,35.3,71,7.2,16.9,7.9,6,19.6
01/05/1998,Ilorin,23.6,35.2,72,7,14.7,6.1,4.9,79.4
01/06/1998,Ilorin,22.8,30.9,79,4.4,13.5,3.4,4.5,183.7
01/07/1998,Ilorin,21.9,30.2,84,3.5,13.1,3.1,4.7,176.3
01/08/1998,Ilorin,21.5,30.1,86,2.5,12.2,2.3,4.4,338.3
01/09/1998,Ilorin,20.6,30,84,5.2,14.6,2.7,4.1,238.6
01/10/1998,Ilorin,21.7,32.2,83,6.2,14.6,3.8,3.9,105.8
01/11/1998,Ilorin,21.2,33.9,73,7.8,18.1,7.5,3.5,0
01/12/1998,Ilorin,19.3,34.1,58,7.3,15.9,8.7,5.6,0
01/01/1999,Ilorin,20.9,33.3,56,5.6,14.7,8.8,5.2,73.3
01/02/1999,Ilorin,22.8,35.1,70,7,17.4,8,4.5,26.2
01/03/1999,Ilorin,23.6,34.9,75,7.1,16.7,6.8,5.1,48.3
01/04/1999,Ilorin,22.7,34.2,75,6.2,17.2,5.6,4.2,103.2
01/05/1999,Ilorin,22.6,32.1,79,6.4,15.5,4.2,4.3,169.1
01/06/1999,Ilorin,22.3,30.3,82,6.6,14.4,3,3.4,196.3
01/07/1999,Ilorin,21.9,29.1,84,5.2,11.8,3.4,3.6,69.2
01/08/1999,Ilorin,20.8,27.9,83,5.3,11.2,3.4,3.3,59.6
01/09/1999,Ilorin,20.6,30.1,83,5.2,12.8,2.9,3.4,107.7
01/10/1999,Ilorin,21.8,32.2,80,5.3,15.6,3.7,3.2,43.1
01/11/1999,Ilorin,22.2,34.3,77,6.5,18.1,6.9,3.1,2.6
01/12/1999,Ilorin,20.3,33.3,59,4.8,14.9,8.4,3.6,0.3
01/01/2000,Ilorin,16.2,33.1,24,4.9,14.8,12.4,5,0
01/02/2000,Ilorin,19.8,35.3,36,5,17.1,13.5,5,0
01/03/2000,Ilorin,22.9,35.1,71,3.1,18.7,7.9,7,46.5
01/04/2000,Ilorin,22.6,33.9,76,5.1,17.1,6.5,8,54.6
01/05/2000,Ilorin,21.9,31.8,77,6.3,15.8,4.3,7,42.7
01/06/2000,Ilorin,21.1,30,83,5,13.8,3.4,6,199.5
01/07/2000,Ilorin,20.9,29.1,81,4.5,12.4,3.3,6,95.8
01/08/2000,Ilorin,20.7,29.3,86,4.5,11.2,2.9,7,119
01/09/2000,Ilorin,20.6,29,86,4.2,12.9,2.8,5,121.3
01/10/2000,Ilorin,21.8,31.1,82,5.8,15.4,3.4,5,115.2
01/11/2000,Ilorin,20.6,35.2,69,7.7,18.3,7.9,3,0
01/12/2000,Ilorin,19.2,33.4,57,5.3,16.5,8,4,0
01/01/2001,Ilorin,22,34,61,5.9,15.5,8.1,7,0
01/02/2001,Ilorin,20.5,35,46,7.8,17.1,11.6,5,5.4
01/03/2001,Ilorin,22.6,37,48,6.5,18.6,13.6,5,0
01/04/2001,Ilorin,22.8,34,76,7.4,17.2,6.6,6,80.1
01/05/2001,Ilorin,21.7,32,82,6.5,16.9,3.9,7,144.8
01/06/2001,Ilorin,21.6,31,86,6.1,15.1,3.5,6,132.4
01/07/2001,Ilorin,21.9,28,87,3.1,12.3,2.5,6,185
01/08/2001,Ilorin,20.6,28,88,3.9,12.5,2.4,7,86.1
01/09/2001,Ilorin,20.8,30,88,3.7,13.1,2.4,5,261.4
01/10/2001,Ilorin,21.6,32,50,6,15.1,3.3,5,61.4
01/11/2001,Ilorin,22.9,35,77,6.9,18.3,5.2,5,16.9
01/12/2001,Ilorin,22.2,33,76,6,16.3,6.1,4,46.6
01/01/2002,Ilorin,20.8,33.6,64,5.1,15.9,8.1,3,3.1
01/02/2002,Ilorin,23.3,35.5,73,8,17.9,7.3,4,19.7
01/03/2002,Ilorin,23.8,34.6,75,6.2,19.9,6.4,6,92.1
01/04/2002,Ilorin,22.6,32.3,77,6.8,18.2,4.7,7,128
01/05/2002,Ilorin,22.3,30.8,82,7.9,15.7,2.7,6,355.7
01/06/2002,Ilorin,22,31.1,83,6.6,14.7,3.1,5,119
01/07/2002,Ilorin,21.4,28.8,86,4.8,11.6,2.3,5,325.9
01/08/2002,Ilorin,21.3,27.9,87,4.3,11.2,2.4,4,138.8
01/09/2002,Ilorin,21.5,30.1,86,4.9,12.6,2.5,5,112.7
01/10/2002,Ilorin,21.1,30.3,83,6.4,18.2,1.1,4,172.9
01/11/2002,Ilorin,21.5,33.2,75,5.2,19,5.6,4,0.5
01/12/2002,Ilorin,19.1,32.9,55,8.1,16.7,8.7,3,0
01/01/2003,Ilorin,17.7,32.5,42,6.1,17.9,12.4,4,0
01/02/2003,Ilorin,20.5,36.1,45,5.7,18,13.8,3,0
01/03/2003,Ilorin,23.9,36.5,68,7.7,16.5,9.1,6,0
01/04/2003,Ilorin,23.5,35,69,7.3,16.9,6.6,6,41.5
01/05/2003,Ilorin,22.8,32.1,78,7.4,15.6,4.3,7,140.4
01/06/2003,Ilorin,21.6,29.9,78,7,12.9,3.5,5,72.5
01/07/2003,Ilorin,21.6,28.9,83,4,11.9,3,6,116.3
01/08/2003,Ilorin,21.3,27.7,83,2.4,13.3,3.1,5,49.2
01/09/2003,Ilorin,21,28.2,85,4.5,15.1,2.5,4,289.7
01/10/2003,Ilorin,20.9,30.9,81,6.3,17.5,3,4,166.4
01/11/2003,Ilorin,20.2,31.8,63,7.7,18.2,5.7,4,55.6
01/12/2003,Ilorin,18.7,33.8,61,7.3,14.5,7.3,3,0
01/01/2004,Ilorin,18.2,32.8,43,6.5,17.2,11.3,5,0
01/02/2004,Ilorin,21.3,35.7,60,5.3,17.8,10.4,5,3.6
01/03/2004,Ilorin,22.3,34.9,65,6.7,17.1,7.9,6,52
01/04/2004,Ilorin,23.5,34.2,70,7.2,16.2,6.5,7,27.8
01/05/2004,Ilorin,23,32.2,79,7.1,14.1,4,5,141.4
01/06/2004,Ilorin,21.9,27.6,82,6.6,13.9,2.9,6,130.6
01/07/2004,Ilorin,21.3,28.8,86,5.1,12.3,2.8,6,146.5
01/08/2004,Ilorin,21.1,28.5,85,3.2,12.7,2.3,5,193.5
01/09/2004,Ilorin,20.8,29.3,86,3.9,16.6,2.2,5,234.8
01/10/2004,Ilorin,21.3,31.2,82,7.2,17.4,2.7,5,202.3
01/11/2004,Ilorin,18,32.2,60,7.8,16.4,4.4,3,25.4
01/12/2004,Ilorin,19.4,33.3,54,8.4,15.4,7.3,3,0
01/01/2005,Ilorin,20.1,33.1,57,6.5,17.1,7.6,3,39.3
01/02/2005,Ilorin,22,36.5,63,7.8,18.4,8.9,4,0
01/03/2005,Ilorin,23.8,36.3,69,7.2,18.1,7.5,6,19.8
01/04/2005,Ilorin,23.3,33.3,77,6.9,15.2,5,6,223
01/05/2005,Ilorin,22.2,31.5,79,7.8,16.1,3.3,8,156
01/06/2005,Ilorin,21.8,30.2,81,6,14.9,3.2,6,131.2
01/07/2005,Ilorin,21.8,28.2,84,5.5,10.6,2.5,5,89.6
01/08/2005,Ilorin,21.5,28.2,82,3.9,12.6,2.6,5,87
01/09/2005,Ilorin,21.8,29.6,83,4.4,14.5,2.5,4,260.6
01/10/2005,Ilorin,21.3,30.3,83,7.2,14.7,2.4,4,235.5
01/11/2005,Ilorin,19.4,33.1,63,8.2,18.6,6.7,4,0
01/12/2005,Ilorin,16.2,32.8,39,8.3,16.2,9.7,3,0
01/01/2006,Ilorin,17.7,33.5,37,6.8,15.9,10.6,4,0
01/02/2006,Ilorin,20.7,35.8,45,7.4,16.9,11,4,2.1
01/03/2006,Ilorin,23.2,35.5,72,6.7,17.2,7.3,6,33.3
01/04/2006,Ilorin,22.8,34.4,73,7.4,18.3,5.7,7,122
01/05/2006,Ilorin,22.7,31.5,81,6,15.3,3.5,6,209.6
01/06/2006,Ilorin,22.1,30.5,84,6.9,14.4,2.9,5,171.3
01/07/2006,Ilorin,21.7,28.7,85,4,12.7,2.4,7,218.7
01/08/2006,Ilorin,22.1,28.6,87,2.7,10.8,2.2,7,232.1
01/09/2006,Ilorin,21.8,29.5,85,5.1,13.5,2.4,4,188.5
01/10/2006,Ilorin,21.9,30.9,82,4.5,15.8,2.9,3,154.6
01/11/2006,Ilorin,19.1,32.4,84,7.6,15.8,5.6,3,46.8
01/12/2006,Ilorin,20.4,33.4,70,5.7,14.7,5.1,2,30.2
01/01/2007,Ilorin,21.2,34.5,76,3.7,16,7.2,3,0
01/02/2007,Ilorin,23.2,36,66,7.3,17.3,8.2,4,0.9
01/03/2007,Ilorin,23.4,35.8,69,4.4,16.8,7.3,5,61.4
01/04/2007,Ilorin,23.4,34.2,69,6.3,17.6,5.9,6,25.8
01/05/2007,Ilorin,22.2,31.9,77,6.5,15.1,4.3,5,143.2
01/06/2007,Ilorin,22.1,30.9,79,6.4,12.6,4.2,4,152.8
01/07/2007,Ilorin,21.7,29.3,80,4.3,10.7,3.1,5,104.2
01/08/2007,Ilorin,21.5,28.7,85,2.9,11,2.7,5,131.4
01/09/2007,Ilorin,21.5,29,85,4.1,14.5,2.4,5,262.7
01/10/2007,Ilorin,21.5,31,79,6.4,13.6,3.4,2,62.9
01/11/2007,Ilorin,16.6,33.3,56,7.1,17.3,8,2,0
01/12/2007,Ilorin,19.8,33.9,73,7.8,15.1,7.2,1,0
01/01/2008,Ilorin,20.1,33.1,64,6.1,14.6,8,2,0
01/02/2008,Ilorin,19.1,34.3,30,7.5,18.4,12.8,3,0
01/03/2008,Ilorin,23.1,36.1,61,7.3,18.1,8.1,3,50.7
01/04/2008,Ilorin,22.4,33.9,77,7,17.9,4.8,2,179.5
01/05/2008,Ilorin,22.5,32.2,80,6.8,14.7,3.2,3,216.9
01/06/2008,Ilorin,21.7,30.2,85,5.8,14.3,2.7,2,229.5
01/07/2008,Ilorin,21.3,28.4,83,4,11.9,3,3,102.9
01/08/2008,Ilorin,21.9,28,84,4.1,12,2.7,2,86
01/09/2008,Ilorin,21,29.3,84,5.1,14.8,2.6,2,334.8
01/10/2008,Ilorin,22,30.5,79,6.7,17.9,2.8,2,121.7
01/11/2008,Ilorin,22,32.8,78,8,16.8,4.5,2,0.8
01/12/2008,Ilorin,20.6,33.6,65,6.9,16.1,7,3.2,11.6
01/01/2009,Ilorin,18.9,34.1,43,5.4,14.8,10.1,4,0
01/02/2009,Ilorin,22.4,35.3,50,5.9,18.3,10.4,4,0.3
01/03/2009,Ilorin,24.1,34.2,54,8,16.4,10.2,4,19
01/04/2009,Ilorin,25,34.3,70,7,17.6,6.7,3,107.4
01/05/2009,Ilorin,25,32.4,80,7,15.3,3.5,5,169.2
01/06/2009,Ilorin,21.9,31.1,79,6.6,14.1,2.8,4,241.6
01/07/2009,Ilorin,22,28.7,86,4,12.8,2.4,3,209
01/08/2009,Ilorin,21.1,28.1,84,3.6,11.4,2.1,3,334.6
01/09/2009,Ilorin,21,30,83,4.9,13,2.6,3.2,338.1
01/10/2009,Ilorin,21.9,31.2,82,5.9,17.5,2.8,2.6,176.3
01/11/2009,Ilorin,21.7,35,72,8.4,16.4,6.6,2.6,0
01/12/2009,Ilorin,19.5,34.5,60,7.7,16.1,8.3,3.4,0
01/01/2010,Ilorin,21.3,33.5,62,6.3,14.2,8.2,3,0
01/02/2010,Ilorin,21.1,33.9,65,7.9,17.7,8.4,3,15.1
