Year,city,sr,tmin,tmax,rh,sh,ep,ws,rf
Feb-97,ilorin,17.40,22.90,35.30,75.00,6.00,6.60,6.50,90.70
Mar-97,ilorin,18.20,23.30,34.20,74.00,6.30,5.50,5.70,108.40
Apr-97,ilorin,17.30,23.20,34.30,75.00,6.60,4.90,6.50,58.30
May-97,ilorin,16.10,23.30,33.30,76.00,6.50,4.20,5.90,97.50
Jun-97,ilorin,13.30,21.20,30.20,82.00,5.00,3.50,4.40,264.00
Jul-97,ilorin,11.80,21.10,28.30,86.00,3.40,2.60,5.40,126.90
Aug-97,ilorin,11.10,21.30,28.20,84.00,2.60,2.60,5.70,153.70
Sep-97,ilorin,12.90,21.10,29.30,85.00,3.80,2.30,3.90,195.70
Oct-97,ilorin,14.60,21.00,31.20,83.00,6.20,2.70,5.50,220.90
Nov-97,ilorin,17.70,21.20,32.20,75.00,6.70,5.00,5.60,6.80
Dec-97,ilorin,16.00,17.30,31.90,47.00,6.80,8.50,5.40,0.25
Jan-98,ilorin,14.80,19.90,34.10,63.00,3.10,8.10,5.40,0.25
Feb-98,ilorin,17.50,23.80,36.30,70.00,6.50,8.00,6.10,3.60
Mar-98,ilorin,16.40,22.70,34.90,66.00,5.90,8.00,5.50,68.40
Apr-98,ilorin,16.90,24.90,35.30,71.00,7.20,7.90,6.00,19.60
May-98,ilorin,14.70,23.60,35.20,72.00,7.00,6.10,4.90,79.40
Jun-98,ilorin,13.50,22.80,30.90,79.00,4.40,3.40,4.50,183.70
Jul-98,ilorin,13.10,21.90,30.20,84.00,3.50,3.10,4.70,176.30
Aug-98,ilorin,12.20,21.50,30.10,86.00,2.50,2.30,4.40,338.30
Sep-98,ilorin,14.60,20.60,30.00,84.00,5.20,2.70,4.10,238.60
Oct-98,ilorin,14.60,21.70,32.20,83.00,6.20,3.80,3.90,105.80
Nov-98,ilorin,18.10,21.20,33.90,73.00,7.80,7.50,3.50,0.25
