Year,city,sr,tmin,tmax,rh,sh,ep,ws,rf
Dec-17,ilorin,14.50,20.00,34.40,69.00,6.90,5.00,2.30,0.25
Jan-18,ilorin,16.20,20.50,36.70,47.00,8.10,7.60,2.50,0.25
Feb-18,ilorin,16.10,23.30,35.20,57.00,8.10,6.10,5.70,31.60
Mar-18,ilorin,16.90,23.30,32.70,74.00,7.10,6.30,5.10,98.90
Apr-18,ilorin,14.50,22.20,32.60,78.00,7.10,3.40,4.40,285.20
May-18,ilorin,15.30,20.80,31.70,81.00,6.50,2.90,5.50,158.20
Jun-18,ilorin,12.30,21.10,29.80,85.00,4.00,2.70,5.70,158.20
Jul-18,ilorin,11.00,20.20,29.60,82.00,3.10,2.40,6.40,199.30
Aug-18,ilorin,17.40,20.80,30.10,85.00,4.30,2.50,4.50,134.10
Sep-18,ilorin,16.00,21.00,31.50,76.00,5.70,2.90,3.10,142.70
Oct-18,ilorin,17.30,19.00,33.60,68.00,6.90,7.90,2.70,152.90
Nov-18,ilorin,14.50,17.00,34.60,58.00,6.70,9.70,3.50,0.30
Dec-18,ilorin,14.30,18.10,35.00,51.00,7.70,7.80,2.40,0.25
Jan-19,ilorin,17.80,21.30,36.60,53.00,7.70,9.70,2.90,0.25
Feb-19,ilorin,15.00,22.80,36.10,67.00,8.00,7.20,6.50,20.50
Mar-19,ilorin,16.40,22.90,34.40,71.00,6.70,6.00,5.90,106.10
Apr-19,ilorin,15.30,22.60,32.20,80.00,7.00,3.30,4.60,42.30
May-19,ilorin,13.40,21.40,30.50,80.00,6.50,2.70,4.90,241.10
Jun-19,ilorin,12.70,20.90,29.40,85.00,5.10,1.70,6.70,318.60
Jul-19,ilorin,10.40,20.80,28.30,84.00,3.80,1.70,6.60,226.30
Aug-19,ilorin,15.80,20.40,28.90,86.00,5.10,1.90,5.50,272.30
Sep-19,ilorin,16.70,20.60,31.10,82.00,6.50,2.60,4.50,224.50
Oct-19,ilorin,16.90,19.40,31.60,80.00,7.50,4.60,3.90,4.80
Nov-19,ilorin,15.60,17.30,33.30,72.00,7.70,6.70,3.40,14.00
Dec-19,ilorin,14.40,18.10,32.70,77.00,6.90,8.70,3.80,11.10
Jan-20,ilorin,17.60,22.00,34.40,73.00,7.90,8.50,4.80,1.20
Feb-20,ilorin,17.50,22.80,35.50,69.00,7.90,6.80,5.40,17.90
Mar-20,ilorin,17.40,22.80,33.30,74.00,7.20,4.30,6.50,223.90
Apr-20,ilorin,16.90,22.40,31.20,80.00,6.90,3.60,6.20,76.00
May-20,ilorin,14.50,21.50,31.20,84.00,7.00,3.20,6.00,177.20
Jun-20,ilorin,12.70,21.70,29.60,84.00,5.50,2.40,6.80,313.40
Jul-20,ilorin,13.50,21.20,28.30,86.00,3.70,2.80,7.00,209.10
Aug-20,ilorin,18.00,21.20,30.00,85.00,4.50,2.20,5.60,185.70
Sep-20,ilorin,17.00,21.50,31.10,82.00,6.40,2.30,4.80,122.80
Oct-20,ilorin,16.70,17.60,33.90,67.00,7.70,4.90,5.10,4.40
Nov-20,ilorin,14.90,19.10,33.90,76.00,7.80,4.00,3.50,0.25
Jan-91,sokoto,16.80,26.40,33.80,15.00,8.40,16.70,8.20,0.25
Feb-91,sokoto,18.00,18.50,35.00,17.00,9.00,19.30,6.90,0.25
Mar-91,sokoto,18.90,20.90,38.80,18.00,8.30,17.20,5.60,0.25
Apr-91,sokoto,16.70,24.90,40.90,25.00,7.10,16.90,9.10,7.20
May-91,sokoto,17.30,26.40,39.50,50.00,8.90,15.50,10.70,59.30
Jun-91,sokoto,11.60,24.40,34.90,62.00,9.00,10.10,7.70,138.00
Jul-91,sokoto,10.90,23.10,31.40,76.00,7.30,5.90,6.40,106.40
Aug-91,sokoto,11.10,22.50,31.20,78.00,5.00,4.60,6.90,192.90
Sep-91,sokoto,16.30,23.10,34.00,69.00,8.70,5.50,7.50,40.80
Oct-91,sokoto,16.70,23.00,36.20,59.00,8.40,10.70,9.20,12.90
Nov-91,sokoto,12.70,20.70,35.50,29.00,8.20,17.70,12.10,0.25
Dec-91,sokoto,15.30,15.10,30.40,27.00,9.50,17.80,8.60,0.25
Jan-92,sokoto,17.80,13.20,29.90,24.00,8.40,23.50,12.90,0.25
Feb-92,sokoto,15.20,18.30,34.80,16.00,9.60,22.80,12.90,0.25
Mar-92,sokoto,14.50,23.50,38.70,18.00,8.70,22.50,8.90,0.25
Apr-92,sokoto,12.20,26.30,39.70,28.00,7.70,20.50,10.30,0.25
May-92,sokoto,16.50,24.50,37.50,57.00,9.60,13.30,9.20,84.60
Jun-92,sokoto,15.70,25.80,36.10,58.00,8.80,12.20,8.40,54.30
Jul-92,sokoto,13.20,22.90,31.30,76.00,8.30,7.10,7.00,208.40
Aug-92,sokoto,17.10,22.30,31.90,73.00,6.20,6.90,6.00,133.40
Sep-92,sokoto,18.80,21.80,33.10,71.00,8.10,6.50,5.10,76.20
Oct-92,sokoto,17.50,23.20,37.50,45.00,9.80,10.50,10.70,0.25
Nov-92,sokoto,14.30,20.00,33.50,19.00,9.90,22.90,9.90,0.25
Dec-92,sokoto,16.30,16.60,33.40,23.00,9.40,20.10,7.90,0.25
Jan-93,sokoto,18.90,16.20,31.60,20.00,8.60,18.40,9.40,0.25
Feb-93,sokoto,18.20,18.80,33.50,17.00,1.00,21.20,11.90,0.25
Mar-93,sokoto,17.90,24.60,38.10,15.00,7.70,22.10,7.30,0.25
Apr-93,sokoto,15.60,27.90,40.40,35.00,8.70,20.10,8.00,0.25
May-93,sokoto,16.50,25.10,39.00,50.00,8.60,15.90,9.40,6.00
Jun-93,sokoto,15.70,23.70,37.00,56.00,9.50,12.60,9.10,38.40
Jul-93,sokoto,13.20,21.30,33.90,69.00,9.00,6.60,6.70,161.20
Aug-93,sokoto,17.10,22.60,30.30,81.00,6.10,4.90,5.20,300.30
Sep-93,sokoto,18.80,24.00,33.80,70.00,8.60,5.90,4.70,52.10
Oct-93,sokoto,17.50,23.90,35.90,61.00,8.60,12.60,9.90,11.10
Nov-93,sokoto,14.30,19.90,33.60,20.00,9.90,21.10,8.90,0.25
Dec-93,sokoto,16.50,17.20,32.60,16.00,9.10,19.90,7.80,0.25
Jan-94,sokoto,15.10,16.30,31.40,21.00,8.20,18.30,11.20,0.25
Feb-94,sokoto,16.40,15.40,33.40,19.00,9.90,22.20,12.60,0.25
Mar-94,sokoto,17.30,19.10,38.30,15.00,9.30,21.60,7.70,0.25
Apr-94,sokoto,16.00,27.00,41.00,16.00,9.00,21.20,9.60,0.25
May-94,sokoto,18.00,28.90,40.70,45.00,8.40,15.70,9.50,44.70
Jun-94,sokoto,13.90,25.50,35.80,61.00,9.20,12.30,10.30,154.30
Jul-94,sokoto,15.00,28.20,33.10,72.00,7.80,5.40,8.80,229.40
Aug-94,sokoto,16.50,23.50,31.60,77.00,4.50,5.20,5.50,127.90
Sep-94,sokoto,14.50,23.50,33.20,71.00,7.00,6.20,9.00,62.20
Oct-94,sokoto,17.60,23.20,36.60,28.00,9.60,17.80,9.40,0.25
Nov-94,sokoto,14.30,20.60,35.80,19.00,9.50,18.40,10.60,0.25
Dec-94,sokoto,15.30,19.10,33.60,23.00,8.50,18.50,9.10,0.25
Jan-95,sokoto,14.90,16.30,30.70,18.00,9.20,18.50,12.50,0.25
Feb-95,sokoto,17.00,18.80,38.80,12.00,9.70,21.50,11.20,0.25
Mar-95,sokoto,18.70,24.00,39.00,14.00,9.50,21.30,7.20,0.25
Apr-95,sokoto,16.90,26.40,40.10,15.00,8.00,22.20,9.10,0.25
May-95,sokoto,16.50,27.30,40.20,42.00,8.30,15.50,9.80,28.00
Jun-95,sokoto,15.70,25.40,35.60,61.00,9.00,12.50,9.40,95.20
Jul-95,sokoto,13.20,24.10,33.40,67.00,8.50,8.80,8.90,100.60
Aug-95,sokoto,17.10,24.50,34.00,65.00,5.80,8.60,8.60,117.80
Sep-95,sokoto,18.80,23.60,33.40,70.00,7.70,6.80,8.20,125.40
Oct-95,sokoto,17.50,24.80,37.10,47.00,9.60,12.30,9.40,0.25
Nov-95,sokoto,14.30,21.40,35.90,17.00,9.50,20.10,11.80,0.25
Dec-95,sokoto,14.50,17.10,30.10,20.00,9.40,20.20,9.20,0.25
Jan-96,sokoto,15.80,19.20,33.20,21.00,9.50,19.40,11.30,0.25
Feb-96,sokoto,16.70,18.30,32.40,13.00,9.50,23.10,7.30,0.25
Mar-96,sokoto,19.80,25.80,38.20,19.00,8.50,23.10,7.90,0.25
Apr-96,sokoto,20.70,25.60,40.40,17.00,8.50,23.40,7.20,0.25
May-96,sokoto,18.00,27.70,39.40,47.00,8.30,17.40,11.00,27.90
Jun-96,sokoto,13.90,26.10,36.10,57.00,8.10,14.50,8.00,95.20
Jul-96,sokoto,15.00,23.50,32.50,72.00,8.80,8.30,6.30,96.70
Aug-96,sokoto,16.50,23.20,31.50,76.00,6.40,5.80,6.30,135.10
Sep-96,sokoto,14.50,23.20,32.90,71.00,6.90,6.00,6.90,71.70
Oct-96,sokoto,17.60,23.80,37.10,29.00,9.80,14.50,8.50,0.25
Nov-96,sokoto,14.30,21.30,36.30,16.00,9.90,21.50,11.30,0.25
Dec-96,sokoto,15.30,17.30,30.00,20.00,9.70,20.10,8.90,0.25
Jan-97,sokoto,18.90,16.70,31.50,19.00,8.40,2.10,10.60,0.25
Feb-97,sokoto,18.20,21.40,36.70,14.00,9.00,2.20,9.10,0.25
Mar-97,sokoto,17.90,25.30,38.90,20.00,8.30,2.10,6.10,0.25
Apr-97,sokoto,15.60,28.90,41.20,42.00,7.10,1.80,7.20,0.25
May-97,sokoto,17.30,28.00,39.20,46.00,9.30,1.50,8.00,24.50
Jun-97,sokoto,11.60,26.60,37.50,53.00,8.70,14.40,10.90,36.40
Jul-97,sokoto,10.90,23.60,32.20,72.00,8.10,7.70,9.00,151.30
Aug-97,sokoto,11.10,22.90,31.90,77.00,5.70,5.70,6.60,139.20
Sep-97,sokoto,16.30,22.60,32.10,74.00,7.40,5.50,5.70,124.40
Oct-97,sokoto,16.70,23.60,36.10,47.00,9.70,1.20,5.40,0.25
Nov-97,sokoto,12.70,21.60,35.10,27.00,9.90,1.00,7.10,0.25
Dec-97,sokoto,16.30,16.50,30.00,18.00,7.70,1.90,8.60,0.25
Jan-98,sokoto,19.00,20.90,33.10,14.00,8.50,19.60,11.10,0.25
Feb-98,sokoto,19.30,24.00,35.90,12.00,9.50,22.00,8.60,0.25
Mar-98,sokoto,17.30,26.00,37.90,22.00,8.30,21.90,9.80,31.00
Apr-98,sokoto,18.60,24.20,39.70,15.00,6.50,28.50,8.70,0.25
May-98,sokoto,17.50,24.80,41.30,37.00,8.50,20.70,8.30,4.50
Jun-98,sokoto,14.10,25.20,36.70,58.00,8.40,13.20,9.30,49.10
Jul-98,sokoto,16.10,23.60,35.50,68.00,7.30,10.90,9.40,56.80
Aug-98,sokoto,16.10,22.70,32.90,72.00,7.60,7.50,7.70,130.50
Sep-98,sokoto,18.30,22.20,34.90,67.00,8.90,8.40,6.40,62.80
Oct-98,sokoto,17.10,21.60,36.60,52.00,9.30,14.60,5.60,38.50
Nov-98,sokoto,16.70,16.70,35.90,17.00,1.60,21.60,8.20,0.25
Dec-98,sokoto,16.50,13.90,32.30,25.00,9.90,22.20,10.30,0.25
Jan-99,sokoto,19.30,17.70,30.90,13.00,9.30,23.90,11.00,0.25
Feb-99,sokoto,17.50,19.70,34.30,14.00,9.90,26.60,10.90,0.25
Mar-99,sokoto,18.30,25.30,38.80,39.00,9.10,29.70,9.50,0.25
Apr-99,sokoto,16.70,28.20,40.10,45.00,6.40,21.50,7.50,5.80
May-99,sokoto,16.30,28.90,40.30,63.00,9.60,19.70,8.20,0.25
Jun-99,sokoto,15.50,25.30,35.70,73.00,8.80,13.00,9.80,107.30
Jul-99,sokoto,12.50,23.90,32.20,83.00,8.10,8.30,9.20,168.30
Aug-99,sokoto,12.60,22.50,28.90,75.00,7.20,4.30,6.30,227.90
Sep-99,sokoto,13.00,22.90,31.90,36.00,8.20,4.90,5.00,188.00
Oct-99,sokoto,11.70,22.70,36.30,21.00,9.20,14.50,6.10,0.25
Nov-99,sokoto,9.50,20.40,35.50,21.00,9.30,19.50,7.30,0.25
Dec-99,sokoto,15.30,17.30,30.40,20.00,1.00,21.90,7.10,0.25
Jan-00,sokoto,12.90,15.00,28.50,18.00,8.50,23.90,12.10,0.25
Feb-00,sokoto,15.20,17.70,31.30,15.00,9.90,26.60,11.90,0.25
Mar-00,sokoto,14.50,23.00,37.40,13.00,9.30,29.70,7.70,0.25
Apr-00,sokoto,12.20,25.40,40.70,26.00,9.00,21.50,6.50,0.25
May-00,sokoto,12.50,26.60,38.80,50.00,8.40,19.70,8.30,26.70
Jun-00,sokoto,11.00,24.80,36.30,57.00,9.20,13.00,10.10,163.50
Jul-00,sokoto,11.60,23.00,32.30,74.00,7.80,8.30,9.00,126.50
Aug-00,sokoto,16.50,23.00,31.20,79.00,6.20,4.30,7.60,192.50
Sep-00,sokoto,14.50,23.20,32.90,73.00,8.10,4.90,6.70,60.00
Oct-00,sokoto,16.50,23.20,35.10,48.00,9.80,14.50,6.10,16.60
Nov-00,sokoto,14.30,20.50,35.50,19.00,9.90,19.50,7.10,0.25
Dec-00,sokoto,14.50,18.00,31.90,27.00,9.40,21.90,9.10,0.25
Jan-01,sokoto,18.90,19.00,33.50,20.00,9.50,19.60,8.30,0.25
Feb-01,sokoto,18.20,19.00,33.00,20.00,9.50,22.40,10.20,0.25
Mar-01,sokoto,17.90,21.00,35.60,12.00,8.50,25.50,11.20,0.25
Apr-01,sokoto,15.60,27.70,41.00,36.00,8.90,17.50,6.90,0.25
May-01,sokoto,17.00,26.50,38.70,52.00,8.40,14.70,10.40,53.20
Jun-01,sokoto,15.20,26.20,37.50,57.00,9.10,12.90,11.30,72.70
Jul-01,sokoto,16.30,22.90,31.60,76.00,8.20,5.60,8.70,347.40
Aug-01,sokoto,17.00,23.30,32.10,75.00,5.90,4.80,6.80,109.60
Sep-01,sokoto,18.00,23.90,34.00,69.00,7.90,6.00,6.00,71.30
Oct-01,sokoto,14.60,24.00,37.30,44.00,9.10,12.50,4.80,0.25
Nov-01,sokoto,15.40,21.30,36.60,24.00,9.40,15.20,5.50,0.25
Dec-01,sokoto,15.30,20.30,35.00,23.00,8.40,14.70,5.60,0.25
Jan-02,sokoto,15.10,17.60,31.90,17.00,9.90,18.80,9.20,0.25
Feb-02,sokoto,16.40,22.40,37.30,16.00,9.60,18.30,5.80,2.80
Mar-02,sokoto,17.30,24.90,38.10,21.00,9.40,20.00,6.90,10.20
Apr-02,sokoto,16.00,27.10,39.50,39.00,8.70,15.10,6.20,18.30
May-02,sokoto,16.50,26.00,35.30,65.00,7.10,9.10,7.30,141.40
Jun-02,sokoto,14.50,25.10,34.90,66.00,8.40,7.80,6.90,117.00
Jul-02,sokoto,14.10,22.80,31.40,78.00,9.10,4.70,6.50,172.60
Aug-02,sokoto,16.00,22.90,30.90,79.00,7.70,3.40,6.10,211.30
Sep-02,sokoto,16.90,23.60,33.60,74.00,8.60,4.70,5.20,85.80
Oct-02,sokoto,16.30,23.50,35.90,57.00,8.60,8.20,4.30,12.10
Nov-02,sokoto,18.50,20.50,35.50,18.00,7.30,17.00,7.20,0.25
Dec-02,sokoto,16.30,17.10,31.20,19.00,8.30,17.10,9.10,0.25
Jan-03,sokoto,15.10,16.50,29.10,21.00,8.30,16.00,10.10,0.25
Feb-03,sokoto,16.40,18.80,33.00,19.00,8.40,22.40,10.50,0.25
Mar-03,sokoto,18.20,23.90,32.90,14.00,7.00,18.00,4.70,0.25
Apr-03,sokoto,17.60,26.90,40.40,41.00,8.00,18.30,5.50,0.25
May-03,sokoto,14.90,26.70,37.90,45.00,8.80,12.70,7.00,38.90
Jun-03,sokoto,15.10,25.50,36.40,59.00,8.70,10.80,7.70,61.90
Jul-03,sokoto,14.90,22.80,31.70,75.00,7.10,5.30,5.00,150.90
Aug-03,sokoto,16.60,22.70,31.90,82.00,7.70,4.40,4.10,132.50
Sep-03,sokoto,17.10,23.00,32.50,76.00,8.20,4.70,2.80,164.80
Oct-03,sokoto,17.10,23.70,36.60,64.00,9.40,9.70,2.40,0.25
Nov-03,sokoto,15.30,20.50,34.30,27.00,9.30,12.60,5.50,0.25
Dec-03,sokoto,16.50,17.00,32.50,21.00,9.30,13.30,5.60,0.25
Jan-04,sokoto,17.20,15.80,28.90,20.00,5.70,16.60,9.20,0.25
Feb-04,sokoto,18.90,19.80,35.70,15.00,8.30,16.30,5.80,0.25
Mar-04,sokoto,17.10,23.80,38.00,15.00,8.80,19.40,6.90,0.25
Apr-04,sokoto,18.90,26.20,40.90,32.00,8.70,16.10,6.20,5.00
May-04,sokoto,16.30,27.90,40.00,47.00,8.40,15.70,7.30,54.80
Jun-04,sokoto,15.70,25.90,37.00,58.00,9.40,10.50,6.90,39.70
Jul-04,sokoto,17.10,23.40,33.10,68.00,6.90,6.30,6.50,204.70
Aug-04,sokoto,16.80,23.20,31.80,81.00,6.00,4.10,6.10,238.20
Sep-04,sokoto,16.70,22.70,33.10,74.00,8.80,4.80,5.20,99.80
Oct-04,sokoto,17.30,23.60,37.10,54.00,9.60,9.20,4.30,0.25
Nov-04,sokoto,13.70,20.50,35.60,24.00,9.80,12.50,7.20,0.25
Dec-04,sokoto,15.30,17.90,33.30,20.00,8.90,13.60,9.10,0.25
Jan-05,sokoto,16.70,17.20,32.30,22.00,9.20,15.10,10.10,0.25
Feb-05,sokoto,16.20,18.70,34.00,18.00,9.80,19.30,10.50,0.25
Mar-05,sokoto,16.80,24.40,40.30,14.00,7.90,19.80,4.70,0.25
Apr-05,sokoto,17.20,27.40,40.40,25.00,9.00,15.90,5.50,0.25
May-05,sokoto,16.20,27.70,39.60,56.00,8.00,14.00,7.00,0.25
Jun-05,sokoto,15.50,25.30,36.80,65.00,9.30,11.00,7.70,51.80
Jul-05,sokoto,15.10,23.60,32.80,70.00,7.70,5.90,5.00,163.70
Aug-05,sokoto,16.90,25.90,31.90,79.00,6.80,3.40,4.10,355.60
Sep-05,sokoto,18.30,23.00,32.30,75.00,7.20,3.50,2.80,185.50
Oct-05,sokoto,18.00,23.70,35.10,50.00,9.10,6.10,2.40,5.50
Nov-05,sokoto,13.20,19.70,35.20,22.00,8.90,13.40,5.50,0.25
Dec-05,sokoto,14.50,16.20,30.40,23.00,9.10,14.40,5.60,0.25
Jan-06,sokoto,18.60,14.90,30.20,19.00,9.70,14.90,8.40,0.25
Feb-06,sokoto,18.30,17.00,33.10,18.00,8.70,17.00,3.70,0.25
Mar-06,sokoto,18.10,24.50,39.80,18.00,9.40,19.10,5.40,0.25
Apr-06,sokoto,17.80,26.90,40.30,37.00,8.30,17.40,4.90,2.70
May-06,sokoto,17.30,27.70,39.80,58.00,8.20,13.40,6.90,17.80
Jun-06,sokoto,14.90,26.90,37.80,65.00,9.50,12.10,8.40,23.70
Jul-06,sokoto,15.70,23.80,34.50,73.00,8.40,8.20,6.40,200.50
Aug-06,sokoto,16.50,22.50,31.50,77.00,7.70,3.60,4.70,170.40
Sep-06,sokoto,17.50,23.10,32.90,69.00,8.40,4.40,4.50,92.30
Oct-06,sokoto,16.40,23.70,36.90,57.00,8.00,8.90,2.90,2.40
Nov-06,sokoto,14.80,19.90,35.60,28.00,9.90,14.80,6.20,0.25
Dec-06,sokoto,15.60,18.80,35.10,27.00,9.40,15.10,5.90,0.25
Jan-07,sokoto,16.80,17.50,35.00,22.00,8.30,14.80,7.20,0.25
Feb-07,sokoto,19.10,20.80,37.50,22.00,8.60,16.90,8.10,0.25
Mar-07,sokoto,18.10,24.40,39.80,17.00,4.90,19.00,5.80,0.25
Apr-07,sokoto,19.20,20.80,40.80,33.00,6.90,17.10,7.30,0.25
May-07,sokoto,19.30,26.40,38.90,48.00,9.40,13.40,7.60,49.00
Jun-07,sokoto,17.80,24.50,35.00,61.00,9.40,7.80,9.10,194.40
Jul-07,sokoto,17.00,23.70,33.60,73.00,7.90,6.30,6.90,160.50
Aug-07,sokoto,15.40,22.60,31.80,81.00,7.50,4.00,5.20,240.90
Sep-07,sokoto,17.50,22.80,32.50,77.00,8.20,3.90,4.10,7.00
Oct-07,sokoto,18.10,22.90,36.70,56.00,8.20,8.50,4.60,15.10
Nov-07,sokoto,17.90,18.50,34.50,22.00,10.10,13.90,7.10,0.25
Dec-07,sokoto,14.90,17.00,34.90,27.00,9.10,14.20,11.10,0.25
Jan-08,sokoto,14.90,16.90,34.20,20.00,10.00,14.60,9.70,0.25
Feb-08,sokoto,17.00,16.40,31.60,16.00,8.90,18.50,10.00,0.25
Mar-08,sokoto,18.70,22.50,36.90,17.00,8.70,10.30,8.10,2.80
Apr-08,sokoto,16.90,25.90,40.10,33.00,7.10,15.50,8.40,1.80
May-08,sokoto,18.00,26.10,36.80,49.00,9.70,9.70,8.90,141.30
Jun-08,sokoto,16.50,24.10,34.90,54.00,9.00,7.40,11.20,152.80
Jul-08,sokoto,15.70,23.70,33.40,75.00,6.60,5.50,9.80,112.80
Aug-08,sokoto,13.20,22.70,32.60,84.00,8.50,3.40,6.70,175.70
Sep-08,sokoto,17.10,23.60,34.10,77.00,8.10,4.70,6.50,42.00
Oct-08,sokoto,18.80,24.70,37.60,54.00,8.80,7.70,5.20,16.30
Nov-08,sokoto,17.50,21.40,38.40,24.00,8.80,12.30,7.30,0.25
Dec-08,sokoto,14.30,18.00,34.40,24.00,8.50,14.20,8.20,0.25
Jan-09,sokoto,15.80,17.00,32.50,25.00,8.70,14.60,7.00,0.25
Feb-09,sokoto,16.70,21.40,37.00,23.00,10.10,18.10,7.50,0.25
Mar-09,sokoto,19.80,21.90,36.90,11.00,7.50,20.00,7.60,0.25
Apr-09,sokoto,20.70,28.20,42.10,33.00,8.60,17.30,7.10,10.00
May-09,sokoto,19.30,29.00,40.10,40.00,7.80,13.70,9.40,6.90
Jun-09,sokoto,18.00,26.10,36.70,62.00,7.60,9.30,9.80,88.70
Jul-09,sokoto,13.90,24.00,32.60,75.00,7.60,5.60,9.50,180.60
Aug-09,sokoto,15.00,23.00,31.10,77.00,7.20,2.60,7.20,183.10
Sep-09,sokoto,16.50,23.40,31.90,69.00,7.80,4.40,6.60,374.90
Oct-09,sokoto,14.50,24.30,36.70,51.00,8.10,6.10,5.80,1.70
Nov-09,sokoto,17.60,21.00,37.50,20.00,8.90,11.60,8.20,0.25
Dec-09,sokoto,14.30,18.20,33.40,24.00,5.10,14.10,7.80,0.25
Jan-10,sokoto,15.40,16.80,33.50,18.00,9.40,14.90,8.20,0.25
Feb-10,sokoto,18.00,19.70,35.80,13.00,9.10,18.20,11.50,0.25
Mar-10,sokoto,19.40,23.90,41.00,13.00,9.30,19.50,8.70,0.25
Apr-10,sokoto,19.20,27.10,40.80,34.00,9.10,17.60,8.10,0.25
May-10,sokoto,18.30,27.10,39.70,53.00,7.90,11.70,8.30,45.00
Jun-10,sokoto,19.10,26.30,37.40,62.00,8.30,10.20,8.40,42.60
Jul-10,sokoto,14.60,23.30,32.50,72.00,7.80,4.90,8.30,162.90
Aug-10,sokoto,16.10,22.40,29.90,79.00,7.50,2.40,6.50,304.30
Sep-10,sokoto,17.20,22.40,31.80,73.00,7.90,2.90,6.50,126.40
Oct-10,sokoto,18.30,22.40,34.80,42.00,8.40,6.40,6.40,30.40
Nov-10,sokoto,17.80,20.80,36.30,27.00,8.30,11.10,4.40,0.25
Dec-10,sokoto,15.40,16.50,32.70,24.00,6.80,11.70,7.30,0.25
Jan-11,sokoto,16.10,18.90,33.10,19.00,8.80,13.00,9.10,0.25
Feb-11,sokoto,18.20,16.90,31.20,19.00,7.20,14.20,9.50,0.25
Mar-11,sokoto,18.30,21.50,37.10,40.00,7.60,17.30,9.90,0.25
Apr-11,sokoto,18.60,26.60,42.20,48.00,7.40,14.50,8.20,0.25
May-11,sokoto,15.00,27.90,40.60,58.00,7.30,13.40,9.80,26.50
Jun-11,sokoto,16.60,25.20,36.30,74.00,7.90,8.90,9.50,59.70
Jul-11,sokoto,12.80,23.50,32.30,79.00,7.30,4.80,9.00,361.60
Aug-11,sokoto,13.90,22.80,31.30,73.00,1.60,3.40,6.60,159.80
Sep-11,sokoto,17.30,23.30,32.90,59.00,8.20,4.00,5.60,63.80
Oct-11,sokoto,17.80,23.00,35.50,26.00,8.90,6.70,6.00,48.60
Nov-11,sokoto,16.40,19.50,36.90,22.00,7.90,11.40,4.70,0.25
Dec-11,sokoto,15.70,16.60,32.50,25.00,9.60,11.00,6.40,0.25
Jan-12,sokoto,14.10,15.40,32.50,17.00,9.30,12.10,6.80,0.25
Feb-12,sokoto,17.20,17.50,33.40,17.00,7.10,13.80,5.90,0.25
Mar-12,sokoto,17.70,22.40,39.50,44.00,7.20,16.30,6.20,0.25
Apr-12,sokoto,19.00,26.80,40.30,42.00,7.30,14.40,7.60,24.10
May-12,sokoto,16.90,27.50,38.70,60.00,6.90,10.80,8.00,60.50
Jun-12,sokoto,17.80,25.60,35.70,73.00,6.90,8.20,8.90,36.80
Jul-12,sokoto,14.50,24.10,33.20,80.00,7.50,4.90,8.50,360.80
Aug-12,sokoto,14.70,22.90,31.10,73.00,6.10,2.80,6.10,141.90
Sep-12,sokoto,15.00,28.00,32.90,58.00,8.00,3.60,5.30,107.50
Oct-12,sokoto,16.60,22.90,36.40,28.00,8.20,8.70,5.10,0.25
Nov-12,sokoto,14.90,20.00,36.50,22.00,7.90,11.30,6.00,0.25
Dec-12,sokoto,16.50,18.30,35.20,23.00,8.20,11.60,7.30,0.25
Jan-13,sokoto,15.50,17.80,34.50,19.00,5.70,12.00,7.70,0.25
Feb-13,sokoto,19.30,24.30,39.50,19.00,8.30,12.20,9.80,0.25
Mar-13,sokoto,18.30,27.80,40.80,47.00,8.80,15.30,9.20,33.30
Apr-13,sokoto,20.20,28.30,40.80,48.00,7.60,12.20,6.10,30.80
May-13,sokoto,19.10,26.20,37.10,64.00,8.40,11.70,8.00,67.40
Jun-13,sokoto,18.30,24.00,33.30,75.00,6.70,8.90,8.80,231.60
Jul-13,sokoto,15.80,23.10,31.60,81.00,7.00,4.70,8.00,183.10
Aug-13,sokoto,13.90,23.10,32.90,70.00,6.70,3.00,6.10,179.20
Sep-13,sokoto,16.80,22.20,34.40,55.00,7.50,3.30,5.90,43.30
Oct-13,sokoto,17.70,19.60,36.10,27.00,7.50,5.20,6.10,0.25
Nov-13,sokoto,14.50,16.90,34.00,20.00,9.40,9.90,7.10,0.25
Dec-13,sokoto,15.90,19.50,34.90,25.00,8.60,10.50,5.60,0.25
Jan-14,sokoto,15.00,20.40,37.30,18.00,6.90,10.20,7.80,0.25
Feb-14,sokoto,17.30,22.40,38.10,23.00,8.30,13.30,9.10,0.25
Mar-14,sokoto,20.20,26.90,40.60,15.00,8.30,15.00,7.50,9.20
Apr-14,sokoto,18.60,26.70,40.80,29.00,7.70,11.90,8.80,17.50
May-14,sokoto,17.70,25.50,35.90,54.00,8.30,12.10,8.50,71.30
Jun-14,sokoto,17.00,24.00,33.10,65.00,6.90,7.90,8.80,287.90
Jul-14,sokoto,15.20,22.90,30.70,74.00,7.00,4.50,7.60,288.70
Aug-14,sokoto,11.60,23.30,32.30,79.00,8.40,2.50,6.10,108.20
Sep-14,sokoto,15.90,23.90,36.60,73.00,7.20,3.30,6.10,7.40
Oct-14,sokoto,15.30,20.90,37.20,50.00,6.30,5.90,5.70,0.25
Nov-14,sokoto,16.20,16.70,33.20,25.00,8.20,10.80,8.20,0.25
Dec-14,sokoto,15.30,20.30,33.30,23.00,6.40,9.70,5.90,0.25
Jan-15,sokoto,15.70,20.00,35.00,24.00,7.50,18.30,7.90,0.25
Feb-15,sokoto,18.10,22.00,37.00,20.00,6.80,22.20,7.80,0.25
