period,city,sr,tmin,tmax,rh ,sh,ep,ws,rf
Jul-98,sokoto,12.5,23.9,32.2,83,8.1,8.3,9.2,168.3
Aug-98,sokoto,12.6,22.5,28.9,75,7.2,4.3,6.3,227.9
Sep-98,sokoto,13,22.9,31.9,36,8.2,4.9,5,188
Oct-98,sokoto,11.7,22.7,36.3,21,9.2,14.5,6.1,0
Nov-98,sokoto,9.5,20.4,35.5,21,9.3,19.5,7.3,0
Dec-98,sokoto,15.3,17.3,30.4,20,1,21.9,7.1,0
Jan-99,sokoto,12.9,15,28.5,18,8.5,23.9,12.1,0
Feb-99,sokoto,15.2,17.7,31.3,15,9.9,26.6,11.9,0
Mar-99,sokoto,14.5,23,37.4,13,9.3,29.7,7.7,0
Apr-99,sokoto,12.2,25.4,40.7,26,9,21.5,6.5,0.1
May-99,sokoto,12.5,26.6,38.8,50,8.4,19.7,8.3,26.7
Jun-99,sokoto,11,24.8,36.3,57,9.2,13,10.1,163.5
Jul-99,sokoto,11.6,23,32.3,74,7.8,8.3,9,126.5
Aug-99,sokoto,16.5,23,31.2,79,6.2,4.3,7.6,192.5
Sep-99,sokoto,14.5,23.2,32.9,73,8.1,4.9,6.7,60
Oct-99,sokoto,16.5,23.2,35.1,48,9.8,14.5,6.1,16.6
Nov-99,sokoto,14.3,20.5,35.5,19,9.9,19.5,7.1,0
Dec-99,sokoto,14.5,18,31.9,27,9.4,21.9,9.1,0
Jan-00,sokoto,18.9,19,33.5,20,9.5,19.6,8.3,0
Feb-00,sokoto,18.2,19,33,20,9.5,22.4,10.2,0
Mar-00,sokoto,17.9,21,35.6,12,8.5,25.5,11.2,0
Apr-00,sokoto,15.6,27.7,41,36,8.9,17.5,6.9,0.1
May-00,sokoto,17,26.5,38.7,52,8.4,14.7,10.4,53.2
Jun-00,sokoto,15.2,26.2,37.5,57,9.1,12.9,11.3,72.7
Jul-00,sokoto,16.3,22.9,31.6,76,8.2,5.6,8.7,347.4
Aug-00,sokoto,17,23.3,32.1,75,5.9,4.8,6.8,109.6
Sep-00,sokoto,18,23.9,34,69,7.9,6,6,71.3
Oct-00,sokoto,14.6,24,37.3,44,9.1,12.5,4.8,0
Nov-00,sokoto,15.4,21.3,36.6,24,9.4,15.2,5.5,0
Dec-00,sokoto,15.3,20.3,35,23,8.4,14.7,5.6,0
Jan-01,sokoto,15.1,17.6,31.9,17,9.9,18.8,9.2,0
Feb-01,sokoto,16.4,22.4,37.3,16,9.6,18.3,5.8,2.8
Mar-01,sokoto,17.3,24.9,38.1,21,9.4,20,6.9,10.2
Apr-01,sokoto,16,27.1,39.5,39,8.7,15.1,6.2,18.3
May-01,sokoto,16.5,26,35.3,65,7.1,9.1,7.3,141.4
Jun-01,sokoto,14.5,25.1,34.9,66,8.4,7.8,6.9,117
Jul-01,sokoto,14.1,22.8,31.4,78,9.1,4.7,6.5,172.6
Aug-01,sokoto,16,22.9,30.9,79,7.7,3.4,6.1,211.3
Sep-01,sokoto,16.9,23.6,33.6,74,8.6,4.7,5.2,85.8
Oct-01,sokoto,16.3,23.5,35.9,57,8.6,8.2,4.3,12.1
Nov-01,sokoto,18.5,20.5,35.5,18,7.3,17,7.2,0
Dec-01,sokoto,16.3,17.1,31.2,19,8.3,17.1,9.1,0
Jan-02,sokoto,15.1,16.5,29.1,22,8.3,16,10.1,0
Feb-02,sokoto,16.4,18.8,33,13,8.4,22.4,10.5,0
Mar-02,sokoto,18.2,23.9,32.9,17,7,18,4.7,0.1
Apr-02,sokoto,17.6,26.9,40.4,31,8,18.3,5.5,0
May-02,sokoto,14.9,26.7,37.9,55,8.8,12.7,7,38.9
Jun-02,sokoto,15.1,25.5,36.4,59,8.7,10.8,7.7,61.9
Jul-02,sokoto,14.9,22.8,31.7,59,7.1,5.3,5,150.9
Aug-02,sokoto,16.6,22.7,31.9,80,7.7,4.4,4.1,132.5
Sep-02,sokoto,17.1,23,32.5,72,8.2,4.7,2.8,164.8
Oct-02,sokoto,17.1,23.7,36.6,50,9.4,9.7,2.4,0
Nov-02,sokoto,15.3,20.5,34.3,22,9.3,12.6,5.5,0
Dec-02,sokoto,16.5,17,32.5,15,9.3,13.3,5.6,0
Jan-03,sokoto,17.2,15.8,28.9,20,5.7,16.6,8.4,0
Feb-03,sokoto,18.9,19.8,35.7,15,8.3,16.3,3.7,0
Mar-03,sokoto,17.1,23.8,38,19,8.8,19.4,5.4,0
Apr-03,sokoto,18.9,26.2,40.9,22,8.7,16.1,4.9,5
May-03,sokoto,16.3,27.9,40,48,8.4,15.7,6.9,54.8
Jun-03,sokoto,15.7,25.9,37,56,9.4,10.5,8.4,39.7
Jul-03,sokoto,17.1,23.4,33.1,71,6.9,6.3,6.4,204.7
Aug-03,sokoto,16.8,23.2,31.8,76,6,4.1,4.7,238.2
Sep-03,sokoto,16.7,22.7,33.1,71,8.8,4.8,4.5,99.8
Oct-03,sokoto,17.3,23.6,37.1,51,9.6,9.2,2.9,0
Nov-03,sokoto,13.7,20.5,35.6,22,9.8,12.5,6.2,0
Dec-03,sokoto,15.3,17.9,33.3,19,8.9,13.6,5.9,0
Jan-04,sokoto,16.7,17.2,32.3,21,9.2,15.1,7.2,0
Feb-04,sokoto,16.2,18.7,34,19,9.8,19.3,8.1,0
Mar-04,sokoto,16.8,24.4,40.3,14,7.9,19.8,5.8,0.1
Apr-04,sokoto,17.2,27.4,40.4,41,9,15.9,7.3,0.1
May-04,sokoto,16.2,27.7,39.6,45,8,14,7.6,0.1
Jun-04,sokoto,15.5,25.3,36.8,59,9.3,11,9.1,51.8
Jul-04,sokoto,15.1,23.6,32.8,75,7.7,5.9,6.9,163.7
Aug-04,sokoto,16.9,25.9,31.9,82,6.8,3.4,5.2,355.6
Sep-04,sokoto,18.3,23,32.3,76,7.2,3.5,4.1,185.5
Oct-04,sokoto,18,23.7,35.1,64,9.1,6.1,4.6,5.5
Nov-04,sokoto,13.2,19.7,35.2,27,8.9,13.4,7.1,0
Dec-04,sokoto,14.5,16.2,30.4,21,9.1,14.4,11.1,0
Jan-05,sokoto,18.6,14.9,30.2,20,9.7,14.9,9.7,0
Feb-05,sokoto,18.3,17,33.1,15,8.7,17,10,0
Mar-05,sokoto,18.1,24.5,39.8,15,9.4,19.1,8.1,0
Apr-05,sokoto,17.8,26.9,40.3,32,8.3,17.4,8.4,2.7
May-05,sokoto,17.3,27.7,39.8,47,8.2,13.4,8.9,17.8
Jun-05,sokoto,14.9,26.9,37.8,58,9.5,12.1,11.2,23.7
Jul-05,sokoto,15.7,23.8,34.5,68,8.4,8.2,9.8,200.5
Aug-05,sokoto,16.5,22.5,31.5,81,7.7,3.6,6.7,170.4
Sep-05,sokoto,17.5,23.1,32.9,74,8.4,4.4,6.5,92.3
Oct-05,sokoto,16.4,23.7,36.9,54,8,8.9,5.2,2.4
Nov-05,sokoto,14.8,19.9,35.6,24,9.9,14.8,7.3,0.1
Dec-05,sokoto,15.6,18.8,35.1,20,9.4,15.1,8.2,0
Jan-06,sokoto,16.8,17.5,35,22,8.3,14.8,7,0
Feb-06,sokoto,19.1,20.8,37.5,18,8.6,16.9,7.5,0
Mar-06,sokoto,18.1,24.4,39.8,14,4.9,19,7.6,0
Apr-06,sokoto,19.2,20.8,40.8,25,6.9,17.1,7.1,0
May-06,sokoto,19.3,26.4,38.9,56,9.4,13.4,9.4,49
Jun-06,sokoto,17.8,24.5,35,65,9.4,7.8,9.8,194.4
Jul-06,sokoto,17,23.7,33.6,70,7.9,6.3,9.5,160.5
Aug-06,sokoto,15.4,22.6,31.8,79,7.5,4,7.2,240.9
Sep-06,sokoto,17.5,22.8,32.5,75,8.2,3.9,6.6,7
Oct-06,sokoto,18.1,22.9,36.7,50,8.2,8.5,5.8,15.1
Nov-06,sokoto,17.9,18.5,34.5,22,10.1,13.9,8.2,0
Dec-06,sokoto,14.9,17,34.9,23,9.1,14.2,7.8,0
Jan-07,sokoto,14.9,16.9,34.2,19,10,14.6,8.2,0
Feb-07,sokoto,17,16.4,31.6,18,8.9,18.5,11.5,0
Mar-07,sokoto,18.7,22.5,36.9,18,8.7,10.3,8.7,2.8
Apr-07,sokoto,16.9,25.9,40.1,37,7.1,15.5,8.1,1.8
May-07,sokoto,18,26.1,36.8,58,9.7,9.7,8.3,141.3
Jun-07,sokoto,16.5,24.1,34.9,65,9,7.4,8.4,152.8
Jul-07,sokoto,15.7,23.7,33.4,73,6.6,5.5,8.3,112.8
Aug-07,sokoto,13.2,22.7,32.6,77,8.5,3.4,6.5,175.7
Sep-07,sokoto,17.1,23.6,34.1,69,8.1,4.7,6.5,42
Oct-07,sokoto,18.8,24.7,37.6,57,8.8,7.7,6.4,16.3
Nov-07,sokoto,17.5,21.4,38.4,28,8.8,12.3,4.4,0.1
Dec-07,sokoto,14.3,18,34.4,27,8.5,14.2,7.3,0
Jan-08,sokoto,15.8,17,32.5,22,8.7,14.6,9.1,0
Feb-08,sokoto,16.7,21.4,37,22,10.1,18.1,9.5,0
Mar-08,sokoto,19.8,21.9,36.9,17,7.5,20,9.9,0
Apr-08,sokoto,20.7,28.2,42.1,33,8.6,17.3,8.2,10
May-08,sokoto,19.3,29,40.1,48,7.8,13.7,9.8,6.9
Jun-08,sokoto,18,26.1,36.7,61,7.6,9.3,9.5,88.7
Jul-08,sokoto,13.9,24,32.6,73,7.6,5.6,9,180.6
Aug-08,sokoto,15,23,31.1,81,7.2,2.6,6.6,183.1
Sep-08,sokoto,16.5,23.4,31.9,77,7.8,4.4,5.6,374.9
Oct-08,sokoto,14.5,24.3,36.7,56,8.1,6.1,6,1.7
Nov-08,sokoto,17.6,21,37.5,22,8.9,11.6,4.7,0
Dec-08,sokoto,14.3,18.2,33.4,27,5.1,14.1,6.4,0
Jan-09,sokoto,15.4,16.8,33.5,20,9.4,14.9,6.8,0
Feb-09,sokoto,18,19.7,35.8,16,9.1,18.2,5.9,0
Mar-09,sokoto,19.4,23.9,41,17,9.3,19.5,6.2,0
Apr-09,sokoto,19.2,27.1,40.8,33,9.1,17.6,7.6,0.1
May-09,sokoto,18.3,27.1,39.7,49,7.9,11.7,8,45
Jun-09,sokoto,19.1,26.3,37.4,54,8.3,10.2,8.9,42.6
Jul-09,sokoto,14.6,23.3,32.5,75,7.8,4.9,8.5,162.9
Aug-09,sokoto,16.1,22.4,29.9,84,7.5,2.4,6.1,304.3
Sep-09,sokoto,17.2,22.4,31.8,77,7.9,2.9,5.3,126.4
Oct-09,sokoto,18.3,22.4,34.8,54,8.4,6.4,5.1,30.4
Nov-09,sokoto,17.8,20.8,36.3,24,8.3,11.1,6,0
Dec-09,sokoto,15.4,16.5,32.7,24,6.8,11.7,7.3,0
Jan-10,sokoto,16.1,18.9,33.1,25,8.8,13,7.7,0
Feb-10,sokoto,18.2,16.9,31.2,23,7.2,14.2,9.8,0
Mar-10,sokoto,18.3,21.5,37.1,11,7.6,17.3,9.2,0
Apr-10,sokoto,18.6,26.6,42.2,33,7.4,14.5,6.1,0
May-10,sokoto,15,27.9,40.6,40,7.3,13.4,8,26.5
Jun-10,sokoto,16.6,25.2,36.3,62,7.9,8.9,8.8,59.7
Jul-10,sokoto,12.8,23.5,32.3,75,7.3,4.8,8,361.6
Aug-10,sokoto,13.9,22.8,31.3,77,1.6,3.4,6.1,159.8
Sep-10,sokoto,17.3,23.3,32.9,69,8.2,4,5.9,63.8
Oct-10,sokoto,17.8,23,35.5,51,8.9,6.7,6.1,48.6
Nov-10,sokoto,16.4,19.5,36.9,20,7.9,11.4,7.1,0
Dec-10,sokoto,15.7,16.6,32.5,24,9.6,11,5.6,0
Jan-11,sokoto,14.1,15.4,32.5,18,9.3,12.1,7.8,0
Feb-11,sokoto,17.2,17.5,33.4,13,7.1,13.8,9.1,0
Mar-11,sokoto,17.7,22.4,39.5,13,7.2,16.3,7.5,0
Apr-11,sokoto,19,26.8,40.3,34,7.3,14.4,8.8,24.1
May-11,sokoto,16.9,27.5,38.7,53,6.9,10.8,8.5,60.5
Jun-11,sokoto,17.8,25.6,35.7,62,6.9,8.2,8.8,36.8
Jul-11,sokoto,14.5,24.1,33.2,72,7.5,4.9,7.6,360.8
Aug-11,sokoto,14.7,22.9,31.1,79,6.1,2.8,6.1,141.9
Sep-11,sokoto,15,28,32.9,73,8,3.6,6.1,107.5
Oct-11,sokoto,16.6,22.9,36.4,42,8.2,8.7,5.7,0
Nov-11,sokoto,14.9,20,36.5,27,7.9,11.3,8.2,0
Dec-11,sokoto,16.5,18.3,35.2,24,8.2,11.6,5.9,0
Jan-12,sokoto,15.5,17.8,34.5,19,5.7,12,7.9,0
Feb-12,sokoto,19.3,24.3,39.5,19,8.3,12.2,7.8,0
Mar-12,sokoto,18.3,27.8,40.8,40,8.8,15.3,7.6,33.3
Apr-12,sokoto,20.2,28.3,40.8,48,7.6,12.2,6.6,30.8
May-12,sokoto,19.1,26.2,37.1,58,8.4,11.7,8.2,67.4
Jun-12,sokoto,18.3,24,33.3,74,6.7,8.9,8.1,231.6
Jul-12,sokoto,15.8,23.1,31.6,79,7,4.7,7.7,183.1
Aug-12,sokoto,13.9,23.1,32.9,73,6.7,3,6,179.2
Sep-12,sokoto,16.8,22.2,34.4,59,7.5,3.3,5.3,43.3
Oct-12,sokoto,17.7,19.6,36.1,26,7.5,5.2,4.4,0
Nov-12,sokoto,14.5,16.9,34,22,9.4,9.9,7.3,0
Dec-12,sokoto,15.9,19.5,34.9,25,8.6,10.5,11.1,0
Jan-13,sokoto,15,20.4,37.3,17,6.9,10.2,6.8,0
Feb-13,sokoto,17.3,22.4,38.1,17,8.3,13.3,8.1,0
Mar-13,sokoto,20.2,26.9,40.6,44,8.3,15,7.5,9.2
Apr-13,sokoto,18.6,26.7,40.8,42,7.7,11.9,7.6,17.5
May-13,sokoto,17.7,25.5,35.9,60,8.3,12.1,8.6,71.3
Jun-13,sokoto,17,24,33.1,73,6.9,7.9,7.6,287.9
Jul-13,sokoto,15.2,22.9,30.7,80,7,4.5,6.1,288.7
Aug-13,sokoto,11.6,23.3,32.3,73,8.4,2.5,4.6,108.2
Sep-13,sokoto,15.9,23.9,36.6,58,7.2,3.3,5.9,7.4
Oct-13,sokoto,15.3,20.9,37.2,28,6.3,5.9,4.9,0
Nov-13,sokoto,16.2,16.7,33.2,22,8.2,10.8,7.1,0
Dec-13,sokoto,15.3,20.3,33.3,23,6.4,9.7,8.2,0
Jan-14,sokoto,15.7,20,37.3,19,7.5,18.3,9.4,0
Feb-14,sokoto,18.1,22,38.1,19,6.8,22.2,9.1,0.1
Mar-14,sokoto,19.3,27,40.6,47,3.7,21.6,6.6,0
Apr-14,sokoto,18.2,26,40.8,48,4.6,21.2,8.8,11.1
May-14,sokoto,18.4,25,35.9,64,7.6,12.4,8.7,114.1
Jun-14,sokoto,17.5,23,33.1,75,6.2,7.3,8.6,128.9
Jul-14,sokoto,16.1,23,30.7,81,8.3,4.1,7.7,296.5
Aug-14,sokoto,15,23,32.3,70,7.3,2.7,6.8,67.2
Sep-14,sokoto,16.2,23,36.6,55,7.5,4.1,6.7,0
Oct-14,sokoto,17.7,22,37.2,27,7.7,8.5,5.5,8.9
Nov-14,sokoto,16.5,19,33.2,20,9.9,17.6,7.9,0
Dec-14,sokoto,16.3,17.1,33.3,25,5.9,17.8,5.3,0
Jan-15,sokoto,17.3,16.6,31.1,18,8.2,16,8.7,0
Feb-15,sokoto,18.4,23.7,38.8,23,9.1,22.4,9.4,0
Mar-15,sokoto,18.8,26,41.3,15,6.7,18,7.1,0
Apr-15,sokoto,19.1,27.5,42,29,6.8,18.3,7.7,0
May-15,sokoto,19,27.2,38.8,54,7.5,12.7,8.6,104.5
Jun-15,sokoto,17.1,25.2,34.7,65,8.1,13,9.8,82.5
Jul-15,sokoto,16,23.5,32.9,74,6.9,8.3,8.5,146.7
Aug-15,sokoto,15.3,23.3,31.3,79,7.5,4.3,6.2,171.1
Sep-15,sokoto,17.2,23.4,33.5,73,8,4.9,6.6,124.3
Oct-15,sokoto,17.7,22.6,36.6,50,8.2,9.2,5.9,3.5
Nov-15,sokoto,17.2,20.5,35.1,25,8.3,12.5,7.8,0
Dec-15,sokoto,16.5,18.4,35.3,23,6.8,13.6,6.4,0
Jan-16,sokoto,16.3,20,36,24,8.7,11,10.5,0
Feb-16,sokoto,16.3,21.5,38.3,20,9.1,13,8.8,0
Mar-16,sokoto,17.4,23.6,40.2,16,9.4,14.9,7.3,0
Apr-16,sokoto,19.7,25.9,42,19,8.7,15.7,9.9,0
May-16,sokoto,17.7,26.8,39.4,51,7.1,11.4,9.9,19.4
Jun-16,sokoto,17.5,26.4,37.1,56,8.4,9.5,10,40.6
Jul-16,sokoto,16.1,24.6,34.5,67,9.1,6.1,7.4,153.7
Aug-16,sokoto,14.6,22.8,31.1,81,7.7,3,6.1,314.7
Sep-16,sokoto,17.3,23,31.9,75,8.6,3.1,5.4,181.3
Oct-16,sokoto,16.6,23.3,35.3,61,8.6,5.1,9.3,29.8
Nov-16,sokoto,16.4,19.3,32,24,7.9,9.9,11.4,0
Dec-16,sokoto,15.3,16.4,32.7,31,9.6,9.6,7.9,0
Jan-17,sokoto,15.3,19,36.8,13,1.5,17.7,11,0
Feb-17,sokoto,17.5,19.3,36.8,9,8.2,20.1,8.3,0
Mar-17,sokoto,18.4,22.2,38.8,13,1.9,19.7,6.4,0
Apr-17,sokoto,17.9,27.9,41.5,34,1.9,21.2,8.7,6.6
May-17,sokoto,18,27.6,39.8,41,1.8,15.9,9.5,45.6
Jun-17,sokoto,17.3,25.9,37.1,61,1.9,13.1,9.9,65.9
Jul-17,sokoto,14.6,24.2,33.2,76,1.4,7.6,11.2,183.4
Aug-17,sokoto,13.1,23,30.7,83,7.5,3.8,7.3,235.6
Sep-17,sokoto,14.9,22.2,31.2,72,8.2,5.1,5.6,99.1
Oct-17,sokoto,15.6,22.3,35.1,39,9.4,1.3,7.1,0.1
Nov-17,sokoto,17.5,28.4,36.8,17,7.9,17.6,9.1,0
Dec-17,sokoto,14.5,17.3,33.7,15,8.2,17.8,10.9,0
Jan-18,sokoto,16.1,15.3,31.4,20,8.8,18.3,10.4,0
Feb-18,sokoto,17,16.6,34.9,12,8,20.7,7.1,0
Mar-18,sokoto,19.7,21.3,38.1,13,7.6,20.6,7.9,0
Apr-18,sokoto,18.3,25.8,39.7,34,7.8,17.1,10.2,0.7
May-18,sokoto,17.5,25.1,37.4,50,5.5,15.2,9.7,41.3
Jun-18,sokoto,17.5,23.7,35.5,61,7.8,10.5,8.4,94.7
Jul-18,sokoto,14.7,21.3,30.7,74,6.3,8,7.6,152.2
Aug-18,sokoto,12.9,21.5,30.7,82,6.9,6.4,7.3,130.2
Sep-18,sokoto,15.3,21.7,31.5,75,8.8,6.9,6.4,93.9
Oct-18,sokoto,17.2,21.2,35.8,39,9.6,11.4,9.8,1.6
Nov-18,sokoto,16.7,16.7,34.9,42,8.2,17.2,6.5,0
Dec-18,sokoto,15.6,18,34.2,54,8.4,17.2,6.5,0
Jan-19,sokoto,14.9,16.3,32.1,12,5.5,17.2,7,0
Feb-19,sokoto,16.6,15.4,31.4,23,9.4,20.1,6.2,0
Mar-19,sokoto,18.5,19.1,35.4,11,5.3,20.4,6.6,0
Apr-19,sokoto,20.4,25.1,39.4,39,6.9,17.9,6.7,0
May-19,sokoto,19,26.3,39.8,49,7.2,15.5,6.7,24.8
Jun-19,sokoto,17.5,23.9,35.2,61,7.5,12.2,9.3,64.1
Jul-19,sokoto,15.5,22.4,31.2,72,6.5,9.5,9.5,114.6
Aug-19,sokoto,15.2,21.4,29.1,83,6.3,6.6,5.3,179.9
Sep-19,sokoto,15.7,21.3,32.2,75,6.7,5.5,6.1,98
Oct-19,sokoto,16.8,19.4,36.1,67,8.4,11.2,4.7,119.9
Nov-19,sokoto,16.9,16.1,34.6,33,7.7,16.7,7.9,0
Dec-19,sokoto,14.9,13.1,30.8,20,8.4,17.5,5.3,0
Jan-20,sokoto,16,12.8,31.5,20,6.7,15.6,9.6,0
Feb-20,sokoto,16.7,16.2,35,15,9.1,21.2,7.7,0
Mar-20,sokoto,19.5,21.3,40.1,23,6.8,19.9,5.8,0
Apr-20,sokoto,19.2,26,40.2,34,8.7,20.5,4.8,0.4
May-20,sokoto,17.9,25.6,39.2,52,9,15.7,6.7,128.7
Jun-20,sokoto,16.2,23.7,35,66,7.6,12.3,8.8,126.1
Jul-20,sokoto,16,23.7,32.1,76,7,7.9,9.1,322.8
Aug-20,sokoto,13.7,22.5,29.6,85,6.7,5.9,7.1,357.6
Sep-20,sokoto,16.4,21.3,31.5,77,8.5,6.6,6.8,88.2
Oct-20,sokoto,17.8,21.3,35.4,52,9.2,10.2,3.8,122.9
Nov-20,sokoto,17.3,20.1,37.4,27,8.8,11.2,6,0
Dec-20,sokoto,16.7,16.8,34.5,30,8.5,16.5,8.2,0
Jan-90,enugu,12.7,21.1,33.9,50,7.6,7.2,4,0
Feb-90,enugu,14.8,23.9,34.7,70,6.8,7.1,4,33.5
Mar-90,enugu,17.2,23.7,33.5,71,6.7,6.6,6,21.8
Apr-90,enugu,13.6,23.8,34.2,76,5.1,5.2,6,151.9
May-90,enugu,13.1,22.9,32.1,78,6.8,3,5,238
Jun-90,enugu,12.1,22.7,31.4,82,5.6,2.9,5,221.2
Jul-90,enugu,9.9,22.2,29.9,80,3.4,2.4,5,238.5
Aug-90,enugu,10.3,22.1,29.7,81,3.8,2.3,5,108.7
Sep-90,enugu,11.7,21.9,29.6,85,3.8,2.6,4,225
Oct-90,enugu,13.9,21.8,29.8,79,5.7,2.4,4,154.2
Nov-90,enugu,13.5,21.7,31.6,65,7.9,3.6,4,56.1
Dec-90,enugu,12,20.3,31.8,69,8.1,7.3,4,0
Jan-91,enugu,14.4,19.4,32.2,59,7.8,8.8,6,6.4
Feb-91,enugu,14.4,22.1,35.4,73,6.1,9,5,109.5
Mar-91,enugu,14.5,23.9,34.9,76,5.2,7,6,72.6
Apr-91,enugu,13.2,23.1,34.6,70,6.1,6,7,134.9
May-91,enugu,12.4,22.2,30.9,79,6.3,4.1,5,301.8
Jun-91,enugu,12.8,22.9,30.5,82,5.4,2.9,6,153.9
Jul-91,enugu,10.3,21.8,29.1,82,4.4,2.3,5,227.1
Aug-91,enugu,10.3,21.9,29.4,87,2.9,2.4,5,213.6
Sep-91,enugu,12,22.2,30.2,81,4.7,2.3,6,253.2
Oct-91,enugu,12.5,21.9,31.3,81,4.7,2.6,48,301.8
Nov-91,enugu,14.6,20.3,32.1,78,6.3,6.1,0,32.3
Dec-91,enugu,13.2,20.3,34.2,49,7.2,5.1,0,36.3
Jan-92,enugu,13.4,22.2,34.2,47,6.9,6.9,5,22.1
Feb-92,enugu,16.4,22.9,34.3,62,5.2,8.2,6,3.1
Mar-92,enugu,12.5,23.7,33.9,69,5.5,6.1,5.8,54.8
Apr-92,enugu,13.3,23.6,34.2,74,5.9,5,6,29.7
May-92,enugu,13.5,23.1,31.9,81,5.4,3.1,4.7,205.6
Jun-92,enugu,11.1,23.2,29.8,82,5.6,2.7,5,321.4
Jul-92,enugu,9.6,22.2,29.6,84,3.2,2.4,6,158.5
Aug-92,enugu,8.9,22.9,29.7,84,3.5,2.8,7,182.9
Sep-92,enugu,11.8,21.8,28.9,84,4.4,2.3,5,298.6
Oct-92,enugu,12.9,21.9,31.2,82,4.6,2.6,5,267.1
Nov-92,enugu,14.8,21.7,32.3,61,6.6,4.8,5,0
Dec-92,enugu,14.8,20.3,33.3,69,6.6,5.2,5,2
Jan-93,enugu,13.2,19.2,32.2,63,5.5,14.4,11,1.8
Feb-93,enugu,16.4,23.1,35.8,59,6.9,9.7,7,2
Mar-93,enugu,14.7,23.8,36.5,68,5.7,10.7,6,102.3
Apr-93,enugu,13.1,25.5,36.7,73,6.5,7.8,8,236.4
May-93,enugu,12.9,23.6,30.3,80,5.7,4.2,7,239.5
Jun-93,enugu,12.3,22.8,30.2,82,5.7,2.9,7,489.6
Jul-93,enugu,10.2,21.9,29.4,84,3.4,7.7,7,87
Aug-93,enugu,9.6,21.7,29.8,80,3.2,2.4,7,183.8
Sep-93,enugu,13,22.6,31.5,84,3.9,2.3,6,364.6
Oct-93,enugu,13.5,22.8,33.7,83,5.8,3.1,5,260.4
Nov-93,enugu,13.2,23.1,33.2,64,6.7,4.1,5,15.4
Dec-93,enugu,13.4,22.1,32.9,69,7.9,5.5,5,0.3
Jan-94,enugu,12.3,20.1,34.4,18,6.5,9.7,6,0
Feb-94,enugu,14.3,23.9,35.9,56,5.4,8.9,6,24.2
Mar-94,enugu,14.3,24.8,34.8,57,6.2,7,8,56.7
Apr-94,enugu,13.7,23.7,32.7,65,6.7,5,7,76
May-94,enugu,13.8,22.9,31.9,77,5.7,3.9,5,314.1
Jun-94,enugu,12.7,21.9,31,81,4.9,3.1,6,228.7
Jul-94,enugu,10.1,21.7,29.5,83,3.7,2.6,5,228.6
Aug-94,enugu,8.1,21.8,29.8,83,2.5,2.5,6,316.7
Sep-94,enugu,10.4,21.1,29.9,82,3,2.6,5,594.6
Oct-94,enugu,12.9,22.3,30.6,77,5.1,2.8,5,176.8
Nov-94,enugu,15.8,22.1,31.8,71,6.5,3.9,4,74.4
Dec-94,enugu,14.4,20.2,32.2,66,7.1,7.6,6,0
Jan-95,enugu,13.3,23.1,34.2,51,4.4,5.8,5,4.3
Feb-95,enugu,15.5,21.3,35.4,62,6.8,11.3,5,1.6
Mar-95,enugu,13,23.9,34.2,67,4.9,6.4,6,30.9
Apr-95,enugu,13.3,23.5,32.1,73,6.4,3.9,6,85.8
May-95,enugu,13.5,22.7,32.3,78,5.8,3.5,7,194.6
Jun-95,enugu,12.8,22.9,30.3,80,4,2.8,6,219.2
Jul-95,enugu,8.9,21.7,30.2,83,3.6,2.2,5,270.6
Aug-95,enugu,8.7,21.6,29.6,83,2.6,2.2,5,185.7
Sep-95,enugu,12.5,21.5,29.9,82,4.3,2.3,4,395.9
Oct-95,enugu,13.4,22.2,31.2,79,5.2,2.9,5,315.6
Nov-95,enugu,16,23.1,33.3,71,6.8,3.5,4,0
Dec-95,enugu,13.7,20.3,32.4,53,7.1,7.8,6,0
Jan-96,enugu,13.2,22.2,34.4,73,4.9,7,5,27
Feb-96,enugu,12.6,23.9,35.8,53,6,6.5,6,57.3
Mar-96,enugu,12.3,23.7,33.2,71,4.8,5.5,7,49.3
Apr-96,enugu,13.4,23.8,34.3,78,5.2,4.8,7,115.8
May-96,enugu,14.8,22.6,32.1,78,6.2,3.4,6,315.5
Jun-96,enugu,11.7,22.8,31.4,81,6.3,3,6,216.2
Jul-96,enugu,9.2,21.8,29.4,83,5.4,2.6,7,265.3
Aug-96,enugu,8.6,21.8,29.2,84,4.8,2.7,7,92.3
Sep-96,enugu,10.8,21.9,29.9,83,4.4,2.6,6,218.1
Oct-96,enugu,13.7,22.6,30.9,79,5.5,2.8,6,209.8
Nov-96,enugu,16.4,22.1,32.1,79,6.4,3.6,5,0
Dec-96,enugu,14.3,19.3,32.3,49,6.2,8.3,7,0
Jan-97,enugu,12.8,21.3,34.4,56,5.6,7.7,6,0
Feb-97,enugu,15.3,23.4,34.9,72,4.9,6.3,6,0
Mar-97,enugu,11.7,23.6,35.2,67,5.2,6.4,7,4
Apr-97,enugu,11.6,24.6,35.4,73,5.6,5.6,7,3.3
May-97,enugu,13.6,23.7,33.9,76,6.1,4.7,8,186
Jun-97,enugu,12.5,22.6,30.8,80,4.8,3.1,6,101.1
Jul-97,enugu,10.8,22.9,31.2,81,4,2.8,6,251.4
Aug-97,enugu,9.5,22.7,29.9,84,4.6,2.2,6,92.2
Sep-97,enugu,12.5,22.5,31.2,83,4.5,2.4,5,248.2
Oct-97,enugu,13.7,22.6,32.1,78,6,2.7,5,24.2
